=== METRICS: train/jsrt ===

JPCLN111.png: DSC=0.3479, IoU=0.2106, Sens=0.2106, Spec=0.9999, MCC=0.3689, Kappa=0.2397, HD95=312.06, NSD=0.0384
JPCLN112.png: DSC=0.6649, IoU=0.4980, Sens=0.7669, Spec=0.6990, MCC=0.4477, Kappa=0.4363, HD95=60.82, NSD=0.0915
JPCLN113.png: DSC=0.3791, IoU=0.2339, Sens=0.2339, Spec=0.9999, MCC=0.4058, Kappa=0.2830, HD95=220.04, NSD=0.0387
JPCLN114.png: DSC=0.3316, IoU=0.1988, Sens=0.1988, Spec=1.0000, MCC=0.3918, Kappa=0.2661, HD95=220.32, NSD=0.0018
JPCLN115.png: DSC=0.2066, IoU=0.1152, Sens=0.1153, Spec=0.9992, MCC=0.2638, Kappa=0.1321, HD95=284.73, NSD=0.0184
JPCLN116.png: DSC=0.2454, IoU=0.1399, Sens=0.1399, Spec=0.9999, MCC=0.3264, Kappa=0.1928, HD95=240.36, NSD=0.0247
JPCLN117.png: DSC=0.2893, IoU=0.1691, Sens=0.1692, Spec=0.9999, MCC=0.3608, Kappa=0.2306, HD95=222.87, NSD=0.0344
JPCLN118.png: DSC=0.4407, IoU=0.2826, Sens=0.2827, Spec=0.9999, MCC=0.4309, Kappa=0.3134, HD95=178.13, NSD=0.0230
JPCLN119.png: DSC=0.5706, IoU=0.3992, Sens=0.3996, Spec=0.9997, MCC=0.5815, Kappa=0.5063, HD95=71.78, NSD=0.0546
JPCLN120.png: DSC=0.3421, IoU=0.2063, Sens=0.2063, Spec=1.0000, MCC=0.3686, Kappa=0.2393, HD95=180.40, NSD=0.0056
JPCLN121.png: DSC=0.4326, IoU=0.2760, Sens=0.2820, Spec=0.9897, MCC=0.4275, Kappa=0.3328, HD95=138.24, NSD=0.0583
JPCLN122.png: DSC=0.0000, IoU=0.0000, Sens=0.0000, Spec=1.0000, MCC=0.0000, Kappa=0.0000, HD95=nan, NSD=nan
JPCLN123.png: DSC=0.4305, IoU=0.2743, Sens=0.2743, Spec=0.9999, MCC=0.4603, Kappa=0.3498, HD95=135.80, NSD=0.0331
JPCLN124.png: DSC=0.5806, IoU=0.4090, Sens=0.9997, Spec=0.3601, MCC=0.3835, Kappa=0.2566, HD95=170.00, NSD=0.0553
JPCLN125.png: DSC=0.3823, IoU=0.2363, Sens=0.2367, Spec=0.9992, MCC=0.4152, Kappa=0.2963, HD95=191.13, NSD=0.0474
JPCLN126.png: DSC=0.4192, IoU=0.2652, Sens=0.2652, Spec=1.0000, MCC=0.4181, Kappa=0.2976, HD95=130.96, NSD=0.0000
JPCLN127.png: DSC=0.3481, IoU=0.2108, Sens=0.2108, Spec=1.0000, MCC=0.4051, Kappa=0.2819, HD95=168.04, NSD=0.0759
JPCLN128.png: DSC=0.5143, IoU=0.3462, Sens=0.3463, Spec=0.9999, MCC=0.5322, Kappa=0.4417, HD95=76.43, NSD=0.0837
JPCLN129.png: DSC=0.3365, IoU=0.2023, Sens=0.2023, Spec=0.9997, MCC=0.3474, Kappa=0.2160, HD95=195.31, NSD=0.0290
JPCLN130.png: DSC=0.3740, IoU=0.2300, Sens=0.2301, Spec=0.9997, MCC=0.4093, Kappa=0.2877, HD95=248.72, NSD=0.0586
JPCLN131.png: DSC=0.4592, IoU=0.2981, Sens=0.2985, Spec=0.9996, MCC=0.5011, Kappa=0.4030, HD95=86.04, NSD=0.0730
JPCLN132.png: DSC=0.4336, IoU=0.2768, Sens=0.2779, Spec=0.9985, MCC=0.4624, Kappa=0.3568, HD95=91.64, NSD=0.0286
JPCLN133.png: DSC=0.3731, IoU=0.2293, Sens=0.2294, Spec=0.9998, MCC=0.4066, Kappa=0.2845, HD95=244.23, NSD=0.0328
JPCLN134.png: DSC=0.4789, IoU=0.3148, Sens=0.3151, Spec=0.9997, MCC=0.5043, Kappa=0.4063, HD95=109.88, NSD=0.0947
JPCLN135.png: DSC=0.5993, IoU=0.4279, Sens=0.9755, Spec=0.4585, MCC=0.4221, Kappa=0.3186, HD95=143.40, NSD=0.1248
JPCLN136.png: DSC=0.3093, IoU=0.1830, Sens=0.1830, Spec=1.0000, MCC=0.3811, Kappa=0.2536, HD95=283.99, NSD=0.0570
JPCLN137.png: DSC=0.3727, IoU=0.2290, Sens=0.2291, Spec=0.9999, MCC=0.4403, Kappa=0.3251, HD95=170.55, NSD=0.0534
JPCLN138.png: DSC=0.1798, IoU=0.0988, Sens=0.0990, Spec=0.9993, MCC=0.2657, Kappa=0.1346, HD95=274.06, NSD=0.0558
JPCLN139.png: DSC=0.3973, IoU=0.2479, Sens=0.2493, Spec=0.9968, MCC=0.4091, Kappa=0.2940, HD95=288.47, NSD=0.0440
JPCLN140.png: DSC=0.3117, IoU=0.1846, Sens=0.1846, Spec=1.0000, MCC=0.3444, Kappa=0.2121, HD95=328.03, NSD=0.0000
JPCLN141.png: DSC=0.2980, IoU=0.1751, Sens=0.1751, Spec=1.0000, MCC=0.3528, Kappa=0.2213, HD95=178.14, NSD=0.0017
JPCLN142.png: DSC=0.2523, IoU=0.1444, Sens=0.1444, Spec=0.9999, MCC=0.3208, Kappa=0.1870, HD95=230.31, NSD=0.0868
JPCLN143.png: DSC=0.4806, IoU=0.3163, Sens=0.3164, Spec=0.9997, MCC=0.4702, Kappa=0.3627, HD95=224.53, NSD=0.0280
JPCLN144.png: DSC=0.5791, IoU=0.4075, Sens=0.4116, Spec=0.9953, MCC=0.5570, Kappa=0.4823, HD95=75.50, NSD=0.1106
JPCLN145.png: DSC=0.3573, IoU=0.2175, Sens=0.2179, Spec=0.9990, MCC=0.3956, Kappa=0.2733, HD95=239.38, NSD=0.0422
JPCLN146.png: DSC=0.2464, IoU=0.1405, Sens=0.1405, Spec=1.0000, MCC=0.2910, Kappa=0.1562, HD95=302.96, NSD=0.0000
JPCLN147.png: DSC=0.5343, IoU=0.3646, Sens=0.3646, Spec=0.9999, MCC=0.5248, Kappa=0.4321, HD95=85.79, NSD=0.0442
