=== METRICS: train/normal ===

Normal (1462).png: DSC=0.9168, IoU=0.8464, Sens=0.8711, Spec=0.9916, MCC=0.8963, Kappa=0.8943, HD95=8.23, NSD=0.6024
Normal (1463).png: DSC=0.9455, IoU=0.8966, Sens=0.9404, Spec=0.9816, MCC=0.9251, Kappa=0.9251, HD95=6.71, NSD=0.6745
Normal (1464).png: DSC=0.7993, IoU=0.6658, Sens=0.9139, Spec=0.8880, MCC=0.7395, Kappa=0.7288, HD95=32.00, NSD=0.3486
Normal (1465).png: DSC=0.9007, IoU=0.8193, Sens=0.8561, Spec=0.9841, MCC=0.8701, Kappa=0.8680, HD95=9.22, NSD=0.3572
Normal (1466).png: DSC=0.8509, IoU=0.7405, Sens=0.7625, Spec=0.9806, MCC=0.7832, Kappa=0.7706, HD95=20.34, NSD=0.3090
Normal (1467).png: DSC=0.9482, IoU=0.9016, Sens=0.9209, Spec=0.9950, MCC=0.9372, Kappa=0.9366, HD95=4.47, NSD=0.7496
Normal (1468).png: DSC=0.9197, IoU=0.8514, Sens=0.9554, Spec=0.9567, MCC=0.8910, Kappa=0.8898, HD95=9.65, NSD=0.5443
Normal (1469).png: DSC=0.9266, IoU=0.8633, Sens=0.8980, Spec=0.9841, MCC=0.8997, Kappa=0.8989, HD95=9.43, NSD=0.5621
Normal (1470).png: DSC=0.9244, IoU=0.8594, Sens=0.8777, Spec=0.9948, MCC=0.9089, Kappa=0.9070, HD95=6.03, NSD=0.5433
Normal (1471).png: DSC=0.9341, IoU=0.8763, Sens=0.9417, Spec=0.9638, MCC=0.9017, Kappa=0.9017, HD95=9.00, NSD=0.5550
Normal (1472).png: DSC=0.9327, IoU=0.8739, Sens=0.9384, Spec=0.9596, MCC=0.8956, Kappa=0.8955, HD95=9.85, NSD=0.5364
Normal (1473).png: DSC=0.7740, IoU=0.6313, Sens=0.6402, Spec=0.9928, MCC=0.7213, Kappa=0.6913, HD95=30.74, NSD=0.2926
Normal (1474).png: DSC=0.9135, IoU=0.8408, Sens=0.9354, Spec=0.9641, MCC=0.8855, Kappa=0.8851, HD95=8.53, NSD=0.5186
Normal (1475).png: DSC=0.8996, IoU=0.8176, Sens=0.8409, Spec=0.9922, MCC=0.8778, Kappa=0.8744, HD95=11.01, NSD=0.3882
Normal (1476).png: DSC=0.8961, IoU=0.8117, Sens=0.8728, Spec=0.9749, MCC=0.8631, Kappa=0.8626, HD95=11.00, NSD=0.3483
Normal (1477).png: DSC=0.9216, IoU=0.8546, Sens=0.9464, Spec=0.9656, MCC=0.8962, Kappa=0.8956, HD95=14.59, NSD=0.6041
Normal (1478).png: DSC=0.9469, IoU=0.8992, Sens=0.9608, Spec=0.9682, MCC=0.9220, Kappa=0.9218, HD95=6.40, NSD=0.6090
Normal (1479).png: DSC=0.9488, IoU=0.9026, Sens=0.9299, Spec=0.9852, MCC=0.9250, Kappa=0.9246, HD95=10.00, NSD=0.7199
Normal (1480).png: DSC=0.9214, IoU=0.8543, Sens=0.9509, Spec=0.9615, MCC=0.8943, Kappa=0.8935, HD95=12.17, NSD=0.5603
Normal (1481).png: DSC=0.9021, IoU=0.8217, Sens=0.9473, Spec=0.9522, MCC=0.8713, Kappa=0.8696, HD95=13.76, NSD=0.4827
Normal (1482).png: DSC=0.8907, IoU=0.8030, Sens=0.8138, Spec=0.9937, MCC=0.8542, Kappa=0.8467, HD95=18.03, NSD=0.4432
Normal (1483).png: DSC=0.8587, IoU=0.7524, Sens=0.9721, Spec=0.9477, MCC=0.8382, Kappa=0.8298, HD95=23.74, NSD=0.5600
Normal (1484).png: DSC=0.8404, IoU=0.7248, Sens=0.9403, Spec=0.9251, MCC=0.8023, Kappa=0.7948, HD95=29.27, NSD=0.4067
Normal (1485).png: DSC=0.9488, IoU=0.9026, Sens=0.9536, Spec=0.9699, MCC=0.9214, Kappa=0.9214, HD95=8.00, NSD=0.6700
Normal (1486).png: DSC=0.8658, IoU=0.7634, Sens=0.7725, Spec=0.9952, MCC=0.8318, Kappa=0.8209, HD95=31.17, NSD=0.5105
Normal (1487).png: DSC=0.9517, IoU=0.9078, Sens=0.9478, Spec=0.9750, MCC=0.9245, Kappa=0.9244, HD95=6.71, NSD=0.6483
Normal (1488).png: DSC=0.9401, IoU=0.8869, Sens=0.9175, Spec=0.9854, MCC=0.9161, Kappa=0.9156, HD95=9.03, NSD=0.6107
