=== METRICS: train/normal ===

Normal (1491).png: DSC=0.9181, IoU=0.8486, Sens=0.8915, Spec=0.9838, MCC=0.8936, Kappa=0.8929, HD95=23.05, NSD=0.2219
Normal (1492).png: DSC=0.6171, IoU=0.4462, Sens=0.4472, Spec=0.9991, MCC=0.6031, Kappa=0.5350, HD95=106.78, NSD=0.1172
Normal (1493).png: DSC=0.8070, IoU=0.6764, Sens=0.6857, Spec=0.9921, MCC=0.7487, Kappa=0.7245, HD95=50.25, NSD=0.2193
Normal (1494).png: DSC=0.6284, IoU=0.4582, Sens=0.4598, Spec=0.9991, MCC=0.6332, Kappa=0.5746, HD95=114.63, NSD=0.0654
Normal (1495).png: DSC=0.8975, IoU=0.8141, Sens=0.8803, Spec=0.9723, MCC=0.8639, Kappa=0.8636, HD95=22.70, NSD=0.1880
Normal (1496).png: DSC=0.9255, IoU=0.8613, Sens=0.8920, Spec=0.9860, MCC=0.8988, Kappa=0.8976, HD95=20.81, NSD=0.2841
Normal (1497).png: DSC=0.8756, IoU=0.7787, Sens=0.8578, Spec=0.9531, MCC=0.8203, Kappa=0.8199, HD95=82.64, NSD=0.1555
Normal (1498).png: DSC=0.8968, IoU=0.8130, Sens=0.8651, Spec=0.9720, MCC=0.8553, Kappa=0.8542, HD95=25.91, NSD=0.1464
Normal (1499).png: DSC=0.8804, IoU=0.7864, Sens=0.8155, Spec=0.9915, MCC=0.8597, Kappa=0.8557, HD95=22.26, NSD=0.1685
Normal (1500).png: DSC=0.9038, IoU=0.8245, Sens=0.8637, Spec=0.9876, MCC=0.8816, Kappa=0.8801, HD95=19.10, NSD=0.2011
Normal (1501).png: DSC=0.9142, IoU=0.8419, Sens=0.8823, Spec=0.9727, MCC=0.8695, Kappa=0.8681, HD95=26.17, NSD=0.1854
Normal (1502).png: DSC=0.9012, IoU=0.8201, Sens=0.8638, Spec=0.9779, MCC=0.8642, Kappa=0.8626, HD95=24.33, NSD=0.1880
Normal (1503).png: DSC=0.8086, IoU=0.6787, Sens=0.6802, Spec=0.9995, MCC=0.7915, Kappa=0.7710, HD95=49.03, NSD=0.2373
Normal (1504).png: DSC=0.9046, IoU=0.8258, Sens=0.8539, Spec=0.9923, MCC=0.8869, Kappa=0.8846, HD95=18.00, NSD=0.2371
Normal (1505).png: DSC=0.8887, IoU=0.7998, Sens=0.8105, Spec=0.9957, MCC=0.8641, Kappa=0.8574, HD95=20.00, NSD=0.1880
Normal (1506).png: DSC=0.9154, IoU=0.8439, Sens=0.8636, Spec=0.9950, MCC=0.9009, Kappa=0.8986, HD95=14.32, NSD=0.2910
