=== METRICS: train/jsrt ===

JPCLN064.png: DSC=0.9153, IoU=0.8438, Sens=0.8552, Spec=0.9924, MCC=0.8773, Kappa=0.8724, HD95=10.00, NSD=0.4425
JPCLN065.png: DSC=0.8972, IoU=0.8136, Sens=0.8625, Spec=0.9751, MCC=0.8584, Kappa=0.8570, HD95=19.76, NSD=0.4141
JPCLN066.png: DSC=0.8928, IoU=0.8063, Sens=0.8176, Spec=0.9907, MCC=0.8407, Kappa=0.8319, HD95=12.00, NSD=0.2884
JPCLN067.png: DSC=0.8908, IoU=0.8031, Sens=0.8861, Spec=0.9662, MCC=0.8553, Kappa=0.8553, HD95=11.18, NSD=0.3343
JPCLN068.png: DSC=0.8919, IoU=0.8050, Sens=0.8214, Spec=0.9901, MCC=0.8523, Kappa=0.8459, HD95=14.04, NSD=0.4113
JPCLN069.png: DSC=0.9254, IoU=0.8612, Sens=0.8820, Spec=0.9911, MCC=0.9016, Kappa=0.8996, HD95=8.90, NSD=0.5345
JPCLN070.png: DSC=0.8648, IoU=0.7617, Sens=0.7802, Spec=0.9860, MCC=0.8098, Kappa=0.7992, HD95=20.44, NSD=0.3005
JPCLN071.png: DSC=0.9233, IoU=0.8575, Sens=0.8736, Spec=0.9932, MCC=0.9001, Kappa=0.8975, HD95=11.00, NSD=0.5446
JPCLN072.png: DSC=0.9259, IoU=0.8620, Sens=0.9007, Spec=0.9845, MCC=0.9019, Kappa=0.9013, HD95=10.82, NSD=0.5604
JPCLN073.png: DSC=0.9040, IoU=0.8248, Sens=0.8551, Spec=0.9822, MCC=0.8643, Kappa=0.8613, HD95=9.90, NSD=0.3347
JPCLN074.png: DSC=0.8746, IoU=0.7771, Sens=0.8096, Spec=0.9752, MCC=0.8154, Kappa=0.8092, HD95=21.95, NSD=0.2499
JPCLN075.png: DSC=0.8750, IoU=0.7778, Sens=0.7968, Spec=0.9860, MCC=0.8226, Kappa=0.8138, HD95=14.00, NSD=0.2549
JPCLN076.png: DSC=0.8727, IoU=0.7741, Sens=0.7878, Spec=0.9912, MCC=0.8289, Kappa=0.8191, HD95=18.40, NSD=0.3638
JPCLN077.png: DSC=0.9121, IoU=0.8385, Sens=0.8761, Spec=0.9793, MCC=0.8755, Kappa=0.8740, HD95=10.00, NSD=0.4569
JPCLN078.png: DSC=0.9097, IoU=0.8343, Sens=0.8573, Spec=0.9846, MCC=0.8676, Kappa=0.8640, HD95=14.04, NSD=0.3542
JPCLN079.png: DSC=0.8746, IoU=0.7771, Sens=0.8386, Spec=0.9617, MCC=0.8192, Kappa=0.8176, HD95=12.00, NSD=0.2948
JPCLN080.png: DSC=0.9188, IoU=0.8499, Sens=0.8881, Spec=0.9799, MCC=0.8854, Kappa=0.8843, HD95=8.49, NSD=0.4084
JPCLN081.png: DSC=0.9092, IoU=0.8335, Sens=0.8572, Spec=0.9879, MCC=0.8769, Kappa=0.8738, HD95=8.00, NSD=0.3537
JPCLN082.png: DSC=0.9148, IoU=0.8430, Sens=0.8665, Spec=0.9878, MCC=0.8831, Kappa=0.8804, HD95=9.22, NSD=0.3986
JPCLN083.png: DSC=0.8902, IoU=0.8022, Sens=0.8192, Spec=0.9869, MCC=0.8390, Kappa=0.8315, HD95=11.35, NSD=0.3052
JPCLN084.png: DSC=0.9224, IoU=0.8560, Sens=0.8708, Spec=0.9927, MCC=0.8953, Kappa=0.8922, HD95=9.12, NSD=0.4997
JPCLN085.png: DSC=0.9270, IoU=0.8639, Sens=0.8930, Spec=0.9884, MCC=0.9042, Kappa=0.9030, HD95=8.16, NSD=0.6022
JPCLN086.png: DSC=0.8925, IoU=0.8059, Sens=0.8188, Spec=0.9900, MCC=0.8428, Kappa=0.8347, HD95=16.22, NSD=0.3627
JPCLN087.png: DSC=0.9234, IoU=0.8577, Sens=0.8745, Spec=0.9903, MCC=0.8913, Kappa=0.8884, HD95=9.00, NSD=0.5046
JPCLN088.png: DSC=0.9040, IoU=0.8248, Sens=0.8636, Spec=0.9785, MCC=0.8649, Kappa=0.8629, HD95=10.00, NSD=0.3828
JPCLN089.png: DSC=0.8437, IoU=0.7296, Sens=0.7392, Spec=0.9889, MCC=0.7637, Kappa=0.7428, HD95=26.93, NSD=0.2396
JPCLN090.png: DSC=0.8977, IoU=0.8143, Sens=0.8244, Spec=0.9942, MCC=0.8627, Kappa=0.8559, HD95=13.48, NSD=0.3800
JPCLN091.png: DSC=0.9084, IoU=0.8321, Sens=0.8473, Spec=0.9917, MCC=0.8754, Kappa=0.8709, HD95=10.00, NSD=0.4026
JPCLN092.png: DSC=0.8614, IoU=0.7565, Sens=0.7731, Spec=0.9855, MCC=0.7984, Kappa=0.7859, HD95=19.17, NSD=0.3072
JPCLN093.png: DSC=0.8574, IoU=0.7505, Sens=0.7545, Spec=0.9965, MCC=0.8007, Kappa=0.7833, HD95=16.28, NSD=0.2081
JPCLN094.png: DSC=0.9147, IoU=0.8427, Sens=0.8623, Spec=0.9888, MCC=0.8805, Kappa=0.8771, HD95=9.22, NSD=0.3673
JPCLN095.png: DSC=0.8967, IoU=0.8128, Sens=0.8698, Spec=0.9823, MCC=0.8722, Kappa=0.8716, HD95=8.25, NSD=0.4260
JPCLN096.png: DSC=0.9100, IoU=0.8348, Sens=0.8556, Spec=0.9883, MCC=0.8752, Kappa=0.8716, HD95=9.00, NSD=0.3624
JPCLN097.png: DSC=0.8567, IoU=0.7493, Sens=0.7966, Spec=0.9694, MCC=0.7994, Kappa=0.7947, HD95=25.73, NSD=0.2251
JPCLN098.png: DSC=0.8899, IoU=0.8016, Sens=0.8132, Spec=0.9924, MCC=0.8477, Kappa=0.8397, HD95=11.00, NSD=0.2961
