image_id,dice,anat_score,final_score,area_ratio,num_components,balance_diff,height_ratio,smoothness
Effusion_generated_23,0.9902751316061844,0.7505400346146073,0.8704075831103959,0.2111778259277263,2,0.15645152549718086,0.759765625,3331012.778409413
Effusion_generated_24,0.9812366520898183,0.72111933893901,0.8511779955144141,0.2224121093749915,2,0.08363062568604493,0.490234375,2309423.59057658
Emphysema_generated_25,0.9879873904254173,0.6897092346916226,0.83884831255852,0.18072128295897746,2,0.37709762532973573,0.66015625,3047219.0501312832
Emphysema_generated_26,0.9894458224433595,0.7507112969104236,0.8700785596768916,0.22942352294920998,2,0.10944098965779166,0.671875,3004510.2794215353
Emphysema_generated_27,0.9887938859441157,0.7686207530169822,0.8787073194805489,0.34058380126951826,2,0.0739454761317988,0.69921875,2579619.722900184
Emphysema_generated_28,0.9843756075935803,0.7663607587794247,0.8753681831865026,0.2445259094238188,2,0.07611425718786351,0.79296875,2893842.264940813
Emphysema_generated_29,0.9918460179774137,0.7808603955100949,0.8863532067437543,0.31465911865233176,2,0.03372693547995615,0.8046875,3261384.5852625584
Fibrosis_generated_30,0.9909732286707772,0.7710248443883678,0.8809990365295726,0.25845718383788074,2,0.07894853364425503,0.71875,2763856.6591143175
Fibrosis_generated_31,0.9920053297800433,0.7181679206217203,0.8550866252008817,0.1828460693359305,2,0.07510640073435804,0.513671875,2531373.3810392786
Fibrosis_generated_32,0.9920458249248623,0.7671000013065776,0.87957291311572,0.27495193481444263,2,0.09552284362555385,0.693359375,2582761.929602705
Fibrosis_generated_33,0.9755766891958761,0.760030245569363,0.8678034673826196,0.3891296386718601,2,0.1053054662379318,0.7421875,2483936.1314796405
Fibrosis_generated_34,0.9880012121289635,0.7434651128543597,0.8657331624916615,0.2943687438964731,2,0.20173131001591332,0.85546875,3161607.736791224
Hernia_generated_35,0.9865422870576144,0.7630819299305329,0.8748121084940736,0.25245666503905284,2,0.04152311876699282,0.64453125,2668504.9501355896
Hernia_generated_36,0.9888579651774853,0.7366117695585709,0.8627348673680281,0.20048904418944546,2,0.04107920923948455,0.560546875,2765235.8510754486
Hernia_generated_37,0.978103791476546,0.7532195621256802,0.8656616768011132,0.24420928955077192,2,0.16826517541938701,0.7734375,3139178.4201313476
Hernia_generated_38,0.9902443276827314,0.7693794954173717,0.8798119115500516,0.2402610778808502,2,0.007255926202307408,0.66015625,2862104.546067532
Hernia_generated_39,0.9890483383684867,0.7264713532760836,0.8577598458222851,0.20182800292967978,2,0.14202011038025592,0.603515625,2956532.188420852
Infiltration_generated_40,0.988586396121865,0.7232018596826751,0.85589412790227,0.1603736877441345,2,0.0528769534501908,0.546875,2818868.7828541617
Infiltration_generated_41,0.9613159458359695,0.7400513911589579,0.8506836684974637,0.18424606323241483,2,0.15836766806762909,0.716796875,3172188.464046218
Infiltration_generated_42,0.9848697936789287,0.7194696750843671,0.8521697343816479,0.24764251708983429,2,0.34042946486331366,0.79296875,2766796.8221444334
Infiltration_generated_43,0.9862657980846427,0.0,0.4931328990423213,0.25247192382811534,2,278719087297636.2,0.732421875,2639278.7233315245
Infiltration_generated_44,0.9832330730832259,0.0,0.49161653654161297,0.19377517700194571,2,363146328990017.56,0.734375,2838126.129987433
Mass_generated_45,0.9604429179712276,0.0,0.4802214589856138,0.17013931274413413,2,413594853785910.5,0.755859375,2521083.7341085356
Mass_generated_46,0.9608301757339694,0.0,0.4804150878669847,0.24886322021483426,2,282760723408239.44,0.736328125,2599709.2281335113
Mass_generated_47,0.9905216177665227,0.7586497441631981,0.8745856809648604,0.24912261962889673,2,0.0952745536397735,0.677734375,2853916.0448499597
Mass_generated_48,0.9933634481004084,0.7916853437457252,0.8925243959230669,0.3147964477538942,2,0.02224861249121177,0.744140625,2708507.7058235733
Mass_generated_49,0.9905162795414728,0.7703558409979968,0.8804360602697348,0.29989624023436356,2,0.15284420474201782,0.76171875,2904748.8666425534
No Finding_generated_50,0.9919568335322964,0.7738648723990915,0.8829108529656939,0.3015098571777229,2,0.11600602234338542,0.72265625,2833967.5147708305
No Finding_generated_51,0.9831724657468823,0.7298142106048714,0.8564933381758768,0.20025253295897671,2,0.16449185636724176,0.646484375,2665769.8299833005
No Finding_generated_52,0.9898825444818616,0.7647508222274683,0.877316683354665,0.3438529968261587,2,0.08559003317098197,0.806640625,2851020.7967691175
No Finding_generated_53,0.974080479163049,0.7141588762011014,0.8441196776820752,0.18412780761718048,2,0.12824231374821243,0.54296875,2747118.9939498743
No Finding_generated_54,0.9819451873760433,0.7445739064113769,0.8632595468937101,0.30485916137694147,2,0.24339001714275518,0.80859375,2790764.262922433
Nodule_generated_55,0.9844234225069687,0.7696441495696218,0.8770337860382953,0.28184890747069236,2,0.08200581985516925,0.814453125,3173759.4914389695
Nodule_generated_56,0.9468192358099422,0.0,0.4734096179049711,0.14485168457030698,2,485798590374609.8,0.69140625,2814446.1208251305
Nodule_generated_57,0.9834712961347395,0.773042171035028,0.8782567335848838,0.2825393676757705,2,0.10498744363134165,0.7265625,2844503.5508866627
Nodule_generated_58,0.9916830835880415,0.7438023500467593,0.8677427168174003,0.2130775451660075,2,0.024329985498679787,0.568359375,2536153.112411598
Nodule_generated_59,0.9899076138897107,0.0,0.49495380694485536,0.30017852783201976,2,234422977172540.44,0.697265625,2481749.488181156
Pleural_Thickening_generated_60,0.9879006866771876,0.7462767343961403,0.8670887105366639,0.2548370361328028,2,0.1573259086282023,0.6640625,3118774.362313167
Pleural_Thickening_generated_61,0.9815679020459365,0.7464373049258677,0.8640026034859021,0.20292282104491413,2,0.003139392800074605,0.57421875,2787169.8937864862
Pleural_Thickening_generated_62,0.9907670178438566,0.0,0.4953835089219283,0.19694519042967998,2,357301155839970.06,0.52734375,2807467.0958582927
Pleural_Thickening_generated_63,0.9827599697451173,0.7786126300009586,0.8806862998730379,0.29191589355467634,2,0.10307877267261212,0.744140625,2952395.358318573
Pleural_Thickening_generated_64,0.9854395110551178,0.7748527767373442,0.880146143896231,0.2768783569335832,2,0.10363450993357808,0.7421875,2828956.603909671
Pneumonia_generated_65,0.964002838892695,0.0,0.4820014194463475,0.1324539184570262,2,531269629448310.56,0.65625,3675800.2138403105
Pneumonia_generated_66,0.9848351468839008,0.7471360188209795,0.8659855828524401,0.20854568481444516,2,0.015895662989991424,0.583984375,3010783.936508257
Pneumonia_generated_67,0.9793990942227744,0.6721698000226373,0.8257844471227058,0.13674926757811978,2,0.33681097969193907,0.576171875,2921047.869475865
Pneumonia_generated_68,0.9178336543632468,0.6562794137557265,0.7870565340594866,0.10589218139648034,2,0.29557981195277366,0.484375,3184737.5229643774
Pneumonia_generated_69,0.9477166943939896,0.0,0.4738583471969948,0.19890594482421114,2,353778989561313.56,0.6484375,2764916.823769176
Pneumothorax_generated_70,0.9831509506731569,0.7611128481741427,0.8721318994236498,0.32792282104490933,2,0.11941183997765092,0.8125,2894053.120528263
Pneumothorax_generated_71,0.9840784273468168,0.0,0.4920392136734084,0.18589401245116477,2,378542284658754.56,0.63671875,2934656.9375750683
Pneumothorax_generated_72,0.9775240886011846,0.0,0.4887620443005923,0.1854362487792898,2,379476745463079.3,0.60546875,2918144.519244015
Pneumothorax_generated_73,0.9910734228300877,0.7648886911682478,0.8779810569991677,0.2473182678222562,2,0.015439668070270474,0.634765625,2671311.609827916
Pneumothorax_generated_74,0.9910851840951903,0.7455112410994194,0.8682982125973049,0.22022247314452284,2,0.08411571106875383,0.62890625,2861906.4767013923
