=== METRICS: train/normal ===

Normal (1565).png: DSC=0.2879, IoU=0.1681, Sens=0.1684, Spec=0.9993, MCC=0.3483, Kappa=0.2189, HD95=313.05, NSD=0.1108
Normal (1566).png: DSC=0.3707, IoU=0.2276, Sens=0.2357, Spec=0.9833, MCC=0.3633, Kappa=0.2722, HD95=143.87, NSD=0.0567
Normal (1567).png: DSC=0.3697, IoU=0.2267, Sens=0.2326, Spec=0.9864, MCC=0.3655, Kappa=0.2659, HD95=179.72, NSD=0.0967
Normal (1568).png: DSC=0.2717, IoU=0.1572, Sens=0.1572, Spec=1.0000, MCC=0.3580, Kappa=0.2272, HD95=264.49, NSD=0.0139
Normal (1569).png: DSC=0.2441, IoU=0.1390, Sens=0.1395, Spec=0.9985, MCC=0.3081, Kappa=0.1780, HD95=262.20, NSD=0.0926
Normal (1570).png: DSC=0.4248, IoU=0.2697, Sens=0.2699, Spec=0.9997, MCC=0.4501, Kappa=0.3379, HD95=156.11, NSD=0.1024
Normal (1571).png: DSC=0.1669, IoU=0.0911, Sens=0.0911, Spec=1.0000, MCC=0.2533, Kappa=0.1206, HD95=305.38, NSD=0.0000
Normal (1572).png: DSC=0.3950, IoU=0.2461, Sens=0.2462, Spec=0.9999, MCC=0.4345, Kappa=0.3178, HD95=179.93, NSD=0.0327
Normal (1573).png: DSC=0.2102, IoU=0.1174, Sens=0.1175, Spec=0.9997, MCC=0.2912, Kappa=0.1574, HD95=265.98, NSD=0.0964
Normal (1574).png: DSC=0.1992, IoU=0.1106, Sens=0.1106, Spec=1.0000, MCC=0.2675, Kappa=0.1337, HD95=339.07, NSD=0.0244
Normal (1575).png: DSC=0.2903, IoU=0.1698, Sens=0.1700, Spec=0.9997, MCC=0.3630, Kappa=0.2342, HD95=178.00, NSD=0.0930
Normal (1576).png: DSC=0.2188, IoU=0.1229, Sens=0.1229, Spec=0.9999, MCC=0.3123, Kappa=0.1782, HD95=281.00, NSD=0.1082
Normal (1577).png: DSC=0.3214, IoU=0.1915, Sens=0.1918, Spec=0.9995, MCC=0.3919, Kappa=0.2686, HD95=155.33, NSD=0.0466
Normal (1578).png: DSC=0.5479, IoU=0.3773, Sens=0.3821, Spec=0.9968, MCC=0.5623, Kappa=0.4906, HD95=76.66, NSD=0.0800
