=== METRICS: train/covid-19 ===

covid_178.png: DSC=0.8670, IoU=0.7652, Sens=0.7836, Spec=0.9951, MCC=0.8498, Kappa=0.8431, HD95=30.73, NSD=0.2911
covid_180.png: DSC=0.5636, IoU=0.3924, Sens=0.4819, Spec=0.9429, MCC=0.4867, Kappa=0.4765, HD95=103.61, NSD=0.2433
covid_181.png: DSC=0.7454, IoU=0.5941, Sens=0.6026, Spec=0.9904, MCC=0.6727, Kappa=0.6320, HD95=74.33, NSD=0.1436
covid_183.png: DSC=0.6937, IoU=0.5311, Sens=0.5397, Spec=0.9963, MCC=0.6854, Kappa=0.6473, HD95=76.46, NSD=0.1833
covid_184.png: DSC=0.6821, IoU=0.5175, Sens=0.5410, Spec=0.9886, MCC=0.6583, Kappa=0.6266, HD95=76.84, NSD=0.1695
covid_187.png: DSC=0.6135, IoU=0.4425, Sens=0.4426, Spec=0.9999, MCC=0.5809, Kappa=0.5047, HD95=91.48, NSD=0.0754
covid_188.png: DSC=0.8581, IoU=0.7515, Sens=0.8306, Spec=0.9686, MCC=0.8184, Kappa=0.8176, HD95=36.01, NSD=0.2502
covid_190.png: DSC=0.8928, IoU=0.8064, Sens=0.8219, Spec=0.9935, MCC=0.8663, Kappa=0.8608, HD95=57.29, NSD=0.2890
covid_191.png: DSC=0.5191, IoU=0.3506, Sens=0.9822, Spec=0.6432, MCC=0.4661, Kappa=0.3646, HD95=121.19, NSD=0.0347
covid_192.png: DSC=0.0230, IoU=0.0116, Sens=0.0120, Spec=0.9880, MCC=-0.0003, Kappa=-0.0001, HD95=176.18, NSD=0.0272
covid_193.png: DSC=0.7425, IoU=0.5905, Sens=0.5930, Spec=0.9985, MCC=0.7162, Kappa=0.6801, HD95=65.07, NSD=0.1566
covid_196.png: DSC=0.4306, IoU=0.2743, Sens=0.2743, Spec=1.0000, MCC=0.4861, Kappa=0.3823, HD95=83.47, NSD=0.0036
covid_197.png: DSC=0.0004, IoU=0.0002, Sens=0.0002, Spec=0.9764, MCC=-0.0744, Kappa=-0.0343, HD95=269.68, NSD=0.0142
covid_198.png: DSC=0.8345, IoU=0.7159, Sens=0.7202, Spec=0.9981, MCC=0.8077, Kappa=0.7915, HD95=30.71, NSD=0.1244
covid_199.png: DSC=0.4655, IoU=0.3034, Sens=0.3040, Spec=0.9992, MCC=0.4875, Kappa=0.3863, HD95=117.21, NSD=0.0552
covid_20.png: DSC=0.8348, IoU=0.7165, Sens=0.7521, Spec=0.9937, MCC=0.8226, Kappa=0.8165, HD95=27.87, NSD=0.2183
covid_200.png: DSC=0.3225, IoU=0.1923, Sens=1.0000, Spec=0.3592, MCC=0.2628, Kappa=0.1292, HD95=240.78, NSD=0.0000
covid_201.png: DSC=0.7988, IoU=0.6650, Sens=0.6828, Spec=0.9960, MCC=0.7886, Kappa=0.7741, HD95=38.08, NSD=0.2555
covid_202.png: DSC=0.8415, IoU=0.7264, Sens=0.7379, Spec=0.9959, MCC=0.8196, Kappa=0.8076, HD95=35.12, NSD=0.2784
covid_203.png: DSC=0.0075, IoU=0.0037, Sens=0.0044, Spec=0.9355, MCC=-0.1237, Kappa=-0.0812, HD95=348.53, NSD=0.0226
covid_204.png: DSC=0.6916, IoU=0.5286, Sens=0.5286, Spec=1.0000, MCC=0.6852, Kappa=0.6391, HD95=82.13, NSD=0.0482
covid_205.png: DSC=0.9186, IoU=0.8494, Sens=0.8776, Spec=0.9873, MCC=0.8911, Kappa=0.8893, HD95=20.22, NSD=0.2245
covid_206.png: DSC=0.0437, IoU=0.0224, Sens=0.0252, Spec=0.9659, MCC=-0.0205, Kappa=-0.0129, HD95=99.67, NSD=0.0523
covid_207.png: DSC=0.7118, IoU=0.5526, Sens=0.5593, Spec=0.9959, MCC=0.6859, Kappa=0.6464, HD95=72.69, NSD=0.1389
covid_208.png: DSC=0.8998, IoU=0.8178, Sens=0.8574, Spec=0.9834, MCC=0.8694, Kappa=0.8675, HD95=30.01, NSD=0.2378
covid_209.png: DSC=0.7040, IoU=0.5432, Sens=0.5457, Spec=0.9984, MCC=0.6820, Kappa=0.6375, HD95=57.28, NSD=0.1766
