=== METRICS: train/tb ===

CHNCXR_73_0.png: DSC=0.8523, IoU=0.7427, Sens=0.7555, Spec=0.9965, MCC=0.8367, Kappa=0.8273, HD95=27.85, NSD=0.4562
CHNCXR_74_0.png: DSC=0.8767, IoU=0.7805, Sens=0.8929, Spec=0.9786, MCC=0.8582, Kappa=0.8580, HD95=7.62, NSD=0.5355
CHNCXR_75_0.png: DSC=0.7556, IoU=0.6072, Sens=0.8412, Spec=0.9294, MCC=0.7107, Kappa=0.7054, HD95=23.90, NSD=0.2766
CHNCXR_76_0.png: DSC=0.8738, IoU=0.7759, Sens=0.8325, Spec=0.9870, MCC=0.8541, Kappa=0.8527, HD95=9.49, NSD=0.4792
CHNCXR_77_0.png: DSC=0.8556, IoU=0.7476, Sens=0.7697, Spec=0.9931, MCC=0.8337, Kappa=0.8262, HD95=17.11, NSD=0.3600
CHNCXR_78_0.png: DSC=0.8963, IoU=0.8121, Sens=0.8372, Spec=0.9898, MCC=0.8688, Kappa=0.8651, HD95=10.03, NSD=0.4254
CHNCXR_79_0.png: DSC=0.9241, IoU=0.8589, Sens=0.8784, Spec=0.9929, MCC=0.9038, Kappa=0.9018, HD95=8.60, NSD=0.5463
CHNCXR_7_0.png: DSC=0.7724, IoU=0.6292, Sens=0.6325, Spec=0.9971, MCC=0.7202, Kappa=0.6858, HD95=44.39, NSD=0.2676
CHNCXR_80_0.png: DSC=0.8393, IoU=0.7232, Sens=0.7337, Spec=0.9967, MCC=0.8211, Kappa=0.8090, HD95=17.09, NSD=0.4095
CHNCXR_81_0.png: DSC=0.7899, IoU=0.6528, Sens=0.6589, Spec=0.9957, MCC=0.7457, Kappa=0.7188, HD95=58.12, NSD=0.2990
CHNCXR_82_0.png: DSC=0.8836, IoU=0.7914, Sens=0.8196, Spec=0.9895, MCC=0.8567, Kappa=0.8525, HD95=12.08, NSD=0.4856
CHNCXR_83_0.png: DSC=0.9006, IoU=0.8191, Sens=0.8333, Spec=0.9959, MCC=0.8836, Kappa=0.8793, HD95=10.05, NSD=0.5392
CHNCXR_84_0.png: DSC=0.9026, IoU=0.8224, Sens=0.8328, Spec=0.9954, MCC=0.8767, Kappa=0.8713, HD95=10.00, NSD=0.4139
CHNCXR_85_0.png: DSC=0.8949, IoU=0.8097, Sens=0.8331, Spec=0.9921, MCC=0.8725, Kappa=0.8688, HD95=13.36, NSD=0.4994
CHNCXR_86_0.png: DSC=0.8946, IoU=0.8093, Sens=0.8270, Spec=0.9956, MCC=0.8798, Kappa=0.8757, HD95=9.45, NSD=0.5414
CHNCXR_87_0.png: DSC=0.9071, IoU=0.8300, Sens=0.8373, Spec=0.9964, MCC=0.8787, Kappa=0.8730, HD95=12.07, NSD=0.4346
CHNCXR_88_0.png: DSC=0.9202, IoU=0.8522, Sens=0.8653, Spec=0.9945, MCC=0.8974, Kappa=0.8942, HD95=8.54, NSD=0.4973
CHNCXR_89_0.png: DSC=0.9032, IoU=0.8235, Sens=0.8467, Spec=0.9911, MCC=0.8786, Kappa=0.8753, HD95=10.63, NSD=0.4173
CHNCXR_8_0.png: DSC=0.9078, IoU=0.8311, Sens=0.8415, Spec=0.9975, MCC=0.8949, Kappa=0.8910, HD95=8.99, NSD=0.5714
CHNCXR_90_0.png: DSC=0.9086, IoU=0.8326, Sens=0.8595, Spec=0.9906, MCC=0.8863, Kappa=0.8840, HD95=8.00, NSD=0.4726
CHNCXR_91_0.png: DSC=0.9379, IoU=0.8831, Sens=0.9044, Spec=0.9882, MCC=0.9107, Kappa=0.9093, HD95=8.00, NSD=0.5592
CHNCXR_92_0.png: DSC=0.9001, IoU=0.8184, Sens=0.8382, Spec=0.9921, MCC=0.8748, Kappa=0.8707, HD95=8.25, NSD=0.4316
CHNCXR_93_0.png: DSC=0.9302, IoU=0.8696, Sens=0.8866, Spec=0.9914, MCC=0.9038, Kappa=0.9017, HD95=7.07, NSD=0.5163
