=== METRICS: train/jsrt ===

JPCLN077.png: DSC=0.7032, IoU=0.5422, Sens=0.7878, Spec=0.7910, MCC=0.5511, Kappa=0.5435, HD95=32.39, NSD=0.2677
JPCLN078.png: DSC=0.8664, IoU=0.7643, Sens=0.8085, Spec=0.9678, MCC=0.8046, Kappa=0.7999, HD95=13.00, NSD=0.2999
JPCLN079.png: DSC=0.8271, IoU=0.7052, Sens=0.7442, Spec=0.9733, MCC=0.7661, Kappa=0.7566, HD95=20.00, NSD=0.2868
JPCLN080.png: DSC=0.8628, IoU=0.7588, Sens=0.7968, Spec=0.9776, MCC=0.8140, Kappa=0.8086, HD95=12.71, NSD=0.2569
JPCLN081.png: DSC=0.8290, IoU=0.7080, Sens=0.7329, Spec=0.9850, MCC=0.7815, Kappa=0.7692, HD95=16.00, NSD=0.2462
JPCLN082.png: DSC=0.8644, IoU=0.7611, Sens=0.8010, Spec=0.9771, MCC=0.8164, Kappa=0.8115, HD95=15.56, NSD=0.3074
JPCLN083.png: DSC=0.4940, IoU=0.3280, Sens=0.3384, Spec=0.9803, MCC=0.4446, Kappa=0.3626, HD95=84.49, NSD=0.2032
JPCLN084.png: DSC=0.8928, IoU=0.8063, Sens=0.8285, Spec=0.9883, MCC=0.8570, Kappa=0.8521, HD95=9.43, NSD=0.3378
JPCLN085.png: DSC=0.8850, IoU=0.7937, Sens=0.8354, Spec=0.9819, MCC=0.8510, Kappa=0.8484, HD95=9.00, NSD=0.3439
JPCLN086.png: DSC=0.8581, IoU=0.7515, Sens=0.7852, Spec=0.9720, MCC=0.7903, Kappa=0.7823, HD95=15.01, NSD=0.2695
JPCLN087.png: DSC=0.8736, IoU=0.7756, Sens=0.8061, Spec=0.9804, MCC=0.8242, Kappa=0.8182, HD95=13.04, NSD=0.3008
JPCLN088.png: DSC=0.5527, IoU=0.3819, Sens=0.3847, Spec=0.9966, MCC=0.5386, Kappa=0.4565, HD95=116.34, NSD=0.1766
