=== METRICS: train/tb ===

CHNCXR_78_0.png: DSC=0.8576, IoU=0.7508, Sens=0.7754, Spec=0.9891, MCC=0.8246, Kappa=0.8169, HD95=36.00, NSD=0.2453
CHNCXR_79_0.png: DSC=0.8843, IoU=0.7926, Sens=0.8188, Spec=0.9896, MCC=0.8561, Kappa=0.8516, HD95=25.23, NSD=0.1849
CHNCXR_7_0.png: DSC=0.7541, IoU=0.6053, Sens=0.6105, Spec=0.9953, MCC=0.7004, Kappa=0.6630, HD95=87.28, NSD=0.0934
CHNCXR_80_0.png: DSC=0.6202, IoU=0.4495, Sens=0.4508, Spec=0.9994, MCC=0.6303, Kappa=0.5705, HD95=78.97, NSD=0.1831
CHNCXR_81_0.png: DSC=0.8703, IoU=0.7703, Sens=0.7848, Spec=0.9913, MCC=0.8290, Kappa=0.8195, HD95=38.29, NSD=0.1926
CHNCXR_82_0.png: DSC=0.9017, IoU=0.8209, Sens=0.8425, Spec=0.9922, MCC=0.8786, Kappa=0.8751, HD95=20.62, NSD=0.3021
CHNCXR_83_0.png: DSC=0.8372, IoU=0.7199, Sens=0.7297, Spec=0.9968, MCC=0.8181, Kappa=0.8054, HD95=36.88, NSD=0.3205
CHNCXR_84_0.png: DSC=0.8478, IoU=0.7358, Sens=0.7477, Spec=0.9942, MCC=0.8148, Kappa=0.8024, HD95=36.06, NSD=0.2217
CHNCXR_85_0.png: DSC=0.8582, IoU=0.7517, Sens=0.7723, Spec=0.9925, MCC=0.8328, Kappa=0.8249, HD95=29.83, NSD=0.2201
CHNCXR_86_0.png: DSC=0.8166, IoU=0.6900, Sens=0.7014, Spec=0.9967, MCC=0.8018, Kappa=0.7871, HD95=37.77, NSD=0.2154
CHNCXR_87_0.png: DSC=0.8852, IoU=0.7940, Sens=0.8120, Spec=0.9906, MCC=0.8498, Kappa=0.8434, HD95=25.00, NSD=0.1373
CHNCXR_88_0.png: DSC=0.8295, IoU=0.7087, Sens=0.7172, Spec=0.9957, MCC=0.7973, Kappa=0.7810, HD95=49.72, NSD=0.1629
CHNCXR_89_0.png: DSC=0.8632, IoU=0.7593, Sens=0.8050, Spec=0.9810, MCC=0.8276, Kappa=0.8240, HD95=26.00, NSD=0.1165
CHNCXR_8_0.png: DSC=0.8710, IoU=0.7715, Sens=0.7818, Spec=0.9973, MCC=0.8564, Kappa=0.8487, HD95=25.54, NSD=0.1885
CHNCXR_90_0.png: DSC=0.8646, IoU=0.7615, Sens=0.7762, Spec=0.9944, MCC=0.8393, Kappa=0.8308, HD95=25.31, NSD=0.2559
CHNCXR_91_0.png: DSC=0.8834, IoU=0.7912, Sens=0.8149, Spec=0.9854, MCC=0.8396, Kappa=0.8335, HD95=50.88, NSD=0.2199
CHNCXR_92_0.png: DSC=0.8975, IoU=0.8140, Sens=0.8461, Spec=0.9872, MCC=0.8695, Kappa=0.8668, HD95=21.00, NSD=0.1828
CHNCXR_93_0.png: DSC=0.8868, IoU=0.7966, Sens=0.8253, Spec=0.9841, MCC=0.8467, Kappa=0.8422, HD95=30.49, NSD=0.1747
CHNCXR_94_0.png: DSC=0.7735, IoU=0.6306, Sens=0.6345, Spec=0.9980, MCC=0.7483, Kappa=0.7205, HD95=94.66, NSD=0.1710
CHNCXR_95_0.png: DSC=0.8503, IoU=0.7396, Sens=0.7568, Spec=0.9914, MCC=0.8144, Kappa=0.8036, HD95=48.68, NSD=0.2061
CHNCXR_9_0.png: DSC=0.8505, IoU=0.7398, Sens=0.7412, Spec=0.9995, MCC=0.8311, Kappa=0.8176, HD95=45.29, NSD=0.1202
DARCXR_301.png: DSC=0.4082, IoU=0.2564, Sens=0.2967, Spec=0.9257, MCC=0.2942, Kappa=0.2597, HD95=97.08, NSD=0.0907
DARCXR_302.png: DSC=0.4857, IoU=0.3207, Sens=0.3210, Spec=0.9997, MCC=0.4941, Kappa=0.3932, HD95=157.53, NSD=0.0310
DARCXR_307.png: DSC=0.0592, IoU=0.0305, Sens=0.0312, Spec=0.9853, MCC=0.0557, Kappa=0.0196, HD95=167.56, NSD=0.0575
