image_id,dice,anat_score,final_score,area_ratio,num_components,balance_diff,height_ratio,solidity,smoothness
Fibrosis_generated_31,0.9920053297800433,0.5343114588776586,0.7631583943288509,0.1828460693359375,2,0.07510640073435804,0.513671875,1.0,2531373.3810392786
Fibrosis_generated_32,0.9920458249248623,0.573188462659024,0.7826171437919431,0.2749519348144531,2,0.09552284362555385,0.693359375,1.0,2582761.929602705
Fibrosis_generated_33,0.9755766891958761,0.599206819687627,0.7873917544417516,0.389129638671875,2,0.1053054662379318,0.7421875,1.0,2483936.1314796405
Fibrosis_generated_34,0.9880012121289635,0.5845096154991394,0.7862554138140514,0.2943687438964844,2,0.20173131001591332,0.85546875,1.0,3161607.736791224
Hernia_generated_35,0.9865422870576144,0.5698633380796523,0.7782028125686333,0.2524566650390625,2,0.04152311876699282,0.64453125,1.0,2668504.9501355896
Hernia_generated_36,0.9888579651774853,0.5488135011605737,0.7688357331690294,0.20048904418945312,2,0.04107920923948455,0.560546875,1.0,2765235.8510754486
Hernia_generated_37,0.978103791476546,0.5686817975604264,0.7733927945184862,0.24420928955078125,2,0.16826517541938701,0.7734375,1.0,3139178.4201313476
Hernia_generated_38,0.9902443276827314,0.5746530393502317,0.7824486835164816,0.24026107788085938,2,0.007255926202307408,0.66015625,1.0,2862104.546067532
Hernia_generated_39,0.9890483383684867,0.5409384125741079,0.7649933754712973,0.2018280029296875,2,0.14202011038025592,0.603515625,1.0,2956532.188420852
Infiltration_generated_40,0.988586396121865,0.5380269903109186,0.7633066932163919,0.16037368774414062,2,0.0528769534501908,0.546875,1.0,2818868.7828541617
Infiltration_generated_41,0.9613159458359695,0.5513443803523679,0.7563301630941687,0.18424606323242188,2,0.15836766806762909,0.716796875,1.0,3172188.464046218
Infiltration_generated_42,0.9848697936789287,0.5479311529953079,0.7664004733371184,0.24764251708984375,2,0.34042946486331366,0.79296875,1.0,2766796.8221444334
Infiltration_generated_43,0.9862657980846427,0.0,0.4931328990423213,0.252471923828125,2,278719087297636.2,0.732421875,1.0,2639278.7233315245
Infiltration_generated_44,0.9832330730832259,0.0,0.49161653654161297,0.19377517700195312,2,363146328990017.56,0.734375,1.0,2838126.129987433
Mass_generated_45,0.9604429179712276,0.0,0.4802214589856138,0.17013931274414062,2,413594853785910.5,0.755859375,1.0,2521083.7341085356
Mass_generated_46,0.9608301757339694,0.0,0.4804150878669847,0.24886322021484375,2,282760723408239.44,0.736328125,1.0,2599709.2281335113
Mass_generated_47,0.9905216177665227,0.5663864465236348,0.7784540321450788,0.24912261962890625,2,0.0952745536397735,0.677734375,1.0,2853916.0448499597
Mass_generated_48,0.9933634481004084,0.5977282423469334,0.795545845223671,0.31479644775390625,2,0.02224861249121177,0.744140625,1.0,2708507.7058235733
Mass_generated_49,0.9905162795414728,0.5792237595783051,0.784870019559889,0.299896240234375,2,0.15284420474201782,0.76171875,1.0,2904748.8666425534
No Finding_generated_50,0.9919568335322964,0.5792028061639183,0.7855798198481073,0.3015098571777344,2,0.11600602234338542,0.72265625,1.0,2833967.5147708305
No Finding_generated_51,0.9831724657468823,0.5435244085412034,0.7633484371440429,0.20025253295898438,2,0.16449185636724176,0.646484375,1.0,2665769.8299833005
No Finding_generated_52,0.9898825444818616,0.6028406222847734,0.7963615833833175,0.3438529968261719,2,0.08559003317098197,0.806640625,1.0,2851020.7967691175
No Finding_generated_53,0.974080479163049,0.531204706446344,0.7526425928046965,0.1841278076171875,2,0.12824231374821243,0.54296875,1.0,2747118.9939498743
No Finding_generated_54,0.9819451873760433,0.5740031716478659,0.7779741795119546,0.3048591613769531,2,0.24339001714275518,0.80859375,1.0,2790764.262922433
Nodule_generated_55,0.9844234225069687,0.5932754260650028,0.7888494242859858,0.2818489074707031,2,0.08200581985516925,0.814453125,1.0,3173759.4914389695
Nodule_generated_56,0.9468192358099422,0.0,0.4734096179049711,0.1448516845703125,2,485798590374609.8,0.69140625,1.0,2814446.1208251305
Nodule_generated_57,0.9834712961347395,0.5778775940732528,0.7806744451039962,0.28253936767578125,2,0.10498744363134165,0.7265625,1.0,2844503.5508866627
Nodule_generated_58,0.9916830835880415,0.5545180726600677,0.7731005781240545,0.21307754516601562,2,0.024329985498679787,0.568359375,1.0,2536153.112411598
Nodule_generated_59,0.9899076138897107,0.0,0.49495380694485536,0.30017852783203125,2,234422977172540.44,0.697265625,1.0,2481749.488181156
Pleural_Thickening_generated_60,0.9879006866771876,0.5568137892959579,0.7723572379865727,0.2548370361328125,2,0.1573259086282023,0.6640625,1.0,3118774.362313167
Pleural_Thickening_generated_61,0.9815679020459365,0.5564772177960755,0.769022559921006,0.20292282104492188,2,0.003139392800074605,0.57421875,1.0,2787169.8937864862
Pleural_Thickening_generated_62,0.9907670178438566,0.0,0.4953835089219283,0.1969451904296875,2,357301155839970.06,0.52734375,1.0,2807467.0958582927
Pleural_Thickening_generated_63,0.9827599697451173,0.582293520165678,0.7825267449553976,0.2919158935546875,2,0.10307877267261212,0.744140625,1.0,2952395.358318573
Pleural_Thickening_generated_64,0.9854395110551178,0.5792355228573459,0.7823375169562319,0.27687835693359375,2,0.10363450993357808,0.7421875,1.0,2828956.603909671
Pneumonia_generated_65,0.964002838892695,0.0,0.4820014194463475,0.13245391845703125,2,531269629448310.56,0.65625,1.0,3675800.2138403105
Pneumonia_generated_66,0.9848351468839008,0.5570706429480028,0.7709528949159519,0.20854568481445312,2,0.015895662989991424,0.583984375,1.0,3010783.936508257
Pneumonia_generated_67,0.9793990942227744,0.49812539350719104,0.7387622438649827,0.136749267578125,2,0.33681097969193907,0.576171875,1.0,2921047.869475865
Pneumonia_generated_68,0.9178336543632468,0.4854919189779789,0.7016627866706129,0.10589218139648438,2,0.29557981195277366,0.484375,1.0,3184737.5229643774
Pneumonia_generated_69,0.9477166943939896,0.0,0.4738583471969948,0.19890594482421875,2,353778989561313.56,0.6484375,1.0,2764916.823769176
Pneumothorax_generated_70,0.9831509506731569,0.5960584501912148,0.7896047004321859,0.3279228210449219,2,0.11941183997765092,0.8125,1.0,2894053.120528263
Pneumothorax_generated_71,0.9840784273468168,0.0,0.4920392136734084,0.18589401245117188,2,378542284658754.56,0.63671875,1.0,2934656.9375750683
Pneumothorax_generated_72,0.9775240886011846,0.0,0.4887620443005923,0.18543624877929688,2,379476745463079.3,0.60546875,1.0,2918144.519244015
Pneumothorax_generated_73,0.9910734228300877,0.57122292217817,0.7811481725041288,0.24731826782226562,2,0.015439668070270474,0.634765625,1.0,2671311.609827916
Pneumothorax_generated_74,0.9910851840951903,0.5559107206163901,0.7734979523557902,0.22022247314453125,2,0.08411571106875383,0.62890625,1.0,2861906.4767013923
