=== METRICS: train/tb ===

CHNCXR_72_0.png: DSC=0.8732, IoU=0.7749, Sens=0.7961, Spec=0.9898, MCC=0.8387, Kappa=0.8317, HD95=13.00, NSD=0.3440
CHNCXR_73_0.png: DSC=0.5562, IoU=0.3853, Sens=0.3874, Spec=0.9989, MCC=0.5819, Kappa=0.5102, HD95=63.58, NSD=0.1756
CHNCXR_74_0.png: DSC=0.6544, IoU=0.4863, Sens=0.5147, Spec=0.9913, MCC=0.6482, Kappa=0.6184, HD95=52.13, NSD=0.2782
CHNCXR_75_0.png: DSC=0.7051, IoU=0.5445, Sens=0.5827, Spec=0.9872, MCC=0.6839, Kappa=0.6640, HD95=23.64, NSD=0.2708
CHNCXR_76_0.png: DSC=0.6465, IoU=0.4777, Sens=0.4927, Spec=0.9944, MCC=0.6461, Kappa=0.6056, HD95=44.93, NSD=0.2920
CHNCXR_77_0.png: DSC=0.7626, IoU=0.6164, Sens=0.6194, Spec=0.9988, MCC=0.7500, Kappa=0.7220, HD95=26.96, NSD=0.2896
CHNCXR_78_0.png: DSC=0.8278, IoU=0.7062, Sens=0.7245, Spec=0.9914, MCC=0.7942, Kappa=0.7810, HD95=19.00, NSD=0.3572
CHNCXR_79_0.png: DSC=0.8531, IoU=0.7439, Sens=0.7631, Spec=0.9919, MCC=0.8230, Kappa=0.8137, HD95=13.04, NSD=0.3357
CHNCXR_7_0.png: DSC=0.7267, IoU=0.5708, Sens=0.5760, Spec=0.9949, MCC=0.6737, Kappa=0.6301, HD95=37.60, NSD=0.2551
CHNCXR_80_0.png: DSC=0.5828, IoU=0.4112, Sens=0.4123, Spec=0.9994, MCC=0.6003, Kappa=0.5318, HD95=25.01, NSD=0.1008
CHNCXR_81_0.png: DSC=0.8621, IoU=0.7576, Sens=0.7749, Spec=0.9895, MCC=0.8185, Kappa=0.8084, HD95=16.28, NSD=0.3022
CHNCXR_82_0.png: DSC=0.8894, IoU=0.8008, Sens=0.8233, Spec=0.9917, MCC=0.8644, Kappa=0.8599, HD95=10.63, NSD=0.4985
CHNCXR_83_0.png: DSC=0.7617, IoU=0.6151, Sens=0.6245, Spec=0.9964, MCC=0.7450, Kappa=0.7197, HD95=23.06, NSD=0.4074
CHNCXR_84_0.png: DSC=0.7835, IoU=0.6440, Sens=0.6515, Spec=0.9958, MCC=0.7507, Kappa=0.7255, HD95=21.90, NSD=0.3123
CHNCXR_85_0.png: DSC=0.8520, IoU=0.7421, Sens=0.7648, Spec=0.9917, MCC=0.8255, Kappa=0.8173, HD95=12.73, NSD=0.3389
CHNCXR_86_0.png: DSC=0.7708, IoU=0.6271, Sens=0.6360, Spec=0.9971, MCC=0.7592, Kappa=0.7363, HD95=26.72, NSD=0.3289
CHNCXR_87_0.png: DSC=0.8723, IoU=0.7735, Sens=0.7893, Spec=0.9916, MCC=0.8354, Kappa=0.8269, HD95=13.60, NSD=0.3062
CHNCXR_88_0.png: DSC=0.7931, IoU=0.6571, Sens=0.6642, Spec=0.9962, MCC=0.7610, Kappa=0.7376, HD95=19.76, NSD=0.2372
CHNCXR_89_0.png: DSC=0.8334, IoU=0.7144, Sens=0.7547, Spec=0.9822, MCC=0.7949, Kappa=0.7879, HD95=15.01, NSD=0.2581
CHNCXR_8_0.png: DSC=0.8352, IoU=0.7170, Sens=0.7247, Spec=0.9979, MCC=0.8211, Kappa=0.8080, HD95=21.03, NSD=0.3870
CHNCXR_90_0.png: DSC=0.8249, IoU=0.7021, Sens=0.7167, Spec=0.9939, MCC=0.7975, Kappa=0.7835, HD95=16.03, NSD=0.3454
CHNCXR_91_0.png: DSC=0.8978, IoU=0.8146, Sens=0.8401, Spec=0.9847, MCC=0.8571, Kappa=0.8529, HD95=11.00, NSD=0.4191
CHNCXR_92_0.png: DSC=0.8864, IoU=0.7961, Sens=0.8228, Spec=0.9891, MCC=0.8575, Kappa=0.8532, HD95=10.00, NSD=0.3529
CHNCXR_93_0.png: DSC=0.8788, IoU=0.7838, Sens=0.8061, Spec=0.9875, MCC=0.8387, Kappa=0.8321, HD95=13.00, NSD=0.3314
CHNCXR_94_0.png: DSC=0.7073, IoU=0.5472, Sens=0.5495, Spec=0.9986, MCC=0.6889, Kappa=0.6461, HD95=30.43, NSD=0.2930
CHNCXR_95_0.png: DSC=0.8183, IoU=0.6925, Sens=0.7044, Spec=0.9936, MCC=0.7821, Kappa=0.7647, HD95=24.51, NSD=0.3391
CHNCXR_9_0.png: DSC=0.8324, IoU=0.7130, Sens=0.7143, Spec=0.9995, MCC=0.8131, Kappa=0.7965, HD95=21.63, NSD=0.2176
DARCXR_301.png: DSC=0.1466, IoU=0.0791, Sens=0.0902, Spec=0.9334, MCC=0.0421, Kappa=0.0297, HD95=73.78, NSD=0.0452
DARCXR_302.png: DSC=0.4444, IoU=0.2857, Sens=0.2857, Spec=1.0000, MCC=0.4642, Kappa=0.3546, HD95=88.50, NSD=0.0275
DARCXR_307.png: DSC=0.1253, IoU=0.0668, Sens=0.0718, Spec=0.9503, MCC=0.0461, Kappa=0.0258, HD95=87.18, NSD=0.0336
DARCXR_309.png: DSC=0.4959, IoU=0.3297, Sens=0.3446, Spec=0.9759, MCC=0.4459, Kappa=0.3737, HD95=89.36, NSD=0.1344
DARCXR_312.png: DSC=0.1566, IoU=0.0850, Sens=0.0850, Spec=1.0000, MCC=0.2483, Kappa=0.1162, HD95=124.62, NSD=0.0000
DARCXR_315.png: DSC=0.5205, IoU=0.3518, Sens=0.3526, Spec=0.9985, MCC=0.4919, Kappa=0.3922, HD95=46.00, NSD=0.0975
DARCXR_316.png: DSC=0.6433, IoU=0.4741, Sens=0.5421, Spec=0.9110, MCC=0.5005, Kappa=0.4817, HD95=41.73, NSD=0.0719
DARCXR_317.png: DSC=0.5801, IoU=0.4086, Sens=0.4086, Spec=1.0000, MCC=0.5450, Kappa=0.4580, HD95=36.00, NSD=0.0357
DARCXR_318.png: DSC=0.1737, IoU=0.0951, Sens=0.0951, Spec=1.0000, MCC=0.2546, Kappa=0.1217, HD95=137.43, NSD=0.0000
DARCXR_320.png: DSC=0.2810, IoU=0.1635, Sens=0.1636, Spec=0.9995, MCC=0.3261, Kappa=0.1934, HD95=89.78, NSD=0.0995
DARCXR_321.png: DSC=0.2716, IoU=0.1572, Sens=0.1580, Spec=0.9969, MCC=0.3141, Kappa=0.1876, HD95=94.58, NSD=0.0889
DARCXR_327.png: DSC=0.5487, IoU=0.3781, Sens=0.3799, Spec=0.9975, MCC=0.5303, Kappa=0.4436, HD95=46.13, NSD=0.1177
DARCXR_329.png: DSC=0.2250, IoU=0.1268, Sens=0.1268, Spec=0.9999, MCC=0.3024, Kappa=0.1678, HD95=139.63, NSD=0.1036
DARCXR_330.png: DSC=0.1941, IoU=0.1075, Sens=0.1075, Spec=0.9999, MCC=0.2606, Kappa=0.1274, HD95=136.12, NSD=0.0717
DARCXR_332.png: DSC=0.2904, IoU=0.1699, Sens=0.1699, Spec=0.9999, MCC=0.3519, Kappa=0.2206, HD95=84.12, NSD=0.0962
DARCXR_334.png: DSC=0.4278, IoU=0.2721, Sens=0.2723, Spec=0.9996, MCC=0.4443, Kappa=0.3307, HD95=69.47, NSD=0.0887
DARCXR_337.png: DSC=0.0741, IoU=0.0385, Sens=0.0385, Spec=1.0000, MCC=0.1584, Kappa=0.0489, HD95=104.69, NSD=0.0214
DARCXR_340.png: DSC=0.0000, IoU=0.0000, Sens=0.0000, Spec=1.0000, MCC=0.0000, Kappa=0.0000, HD95=nan, NSD=nan
DARCXR_341.png: DSC=0.3176, IoU=0.1887, Sens=0.1887, Spec=1.0000, MCC=0.3873, Kappa=0.2609, HD95=117.41, NSD=0.0046
DARCXR_342.png: DSC=0.2908, IoU=0.1702, Sens=0.1702, Spec=1.0000, MCC=0.3299, Kappa=0.1963, HD95=103.89, NSD=0.0063
DARCXR_345.png: DSC=0.3839, IoU=0.2375, Sens=0.2375, Spec=1.0000, MCC=0.4154, Kappa=0.2944, HD95=83.69, NSD=0.0334
DARCXR_346.png: DSC=0.6433, IoU=0.4742, Sens=0.4791, Spec=0.9939, MCC=0.5932, Kappa=0.5290, HD95=62.40, NSD=0.1773
