=== METRICS: train/covid-19 ===

covid_5.png: DSC=0.7668, IoU=0.6218, Sens=0.6490, Spec=0.9814, MCC=0.7123, Kappa=0.6915, HD95=44.55, NSD=0.1850
covid_50.png: DSC=0.8421, IoU=0.7273, Sens=0.8926, Spec=0.9594, MCC=0.8139, Kappa=0.8120, HD95=18.37, NSD=0.4259
covid_52.png: DSC=0.9124, IoU=0.8388, Sens=0.8912, Spec=0.9764, MCC=0.8808, Kappa=0.8803, HD95=10.01, NSD=0.5310
covid_54.png: DSC=0.7304, IoU=0.5753, Sens=0.6081, Spec=0.9877, MCC=0.7055, Kappa=0.6859, HD95=38.43, NSD=0.3043
covid_55.png: DSC=0.8850, IoU=0.7937, Sens=0.8086, Spec=0.9956, MCC=0.8669, Kappa=0.8612, HD95=14.82, NSD=0.5259
covid_56.png: DSC=0.8527, IoU=0.7432, Sens=0.9067, Spec=0.9352, MCC=0.8084, Kappa=0.8059, HD95=16.00, NSD=0.2663
covid_6.png: DSC=0.7807, IoU=0.6403, Sens=0.6462, Spec=0.9956, MCC=0.7349, Kappa=0.7056, HD95=22.63, NSD=0.3027
covid_60.png: DSC=0.8552, IoU=0.7471, Sens=0.8273, Spec=0.9744, MCC=0.8229, Kappa=0.8222, HD95=20.21, NSD=0.4687
covid_61.png: DSC=0.7865, IoU=0.6481, Sens=0.9414, Spec=0.9046, MCC=0.7483, Kappa=0.7322, HD95=25.00, NSD=0.4207
covid_62.png: DSC=0.9280, IoU=0.8656, Sens=0.8794, Spec=0.9940, MCC=0.9053, Kappa=0.9028, HD95=9.00, NSD=0.6328
covid_64.png: DSC=0.8560, IoU=0.7482, Sens=0.8169, Spec=0.9626, MCC=0.8029, Kappa=0.8011, HD95=23.09, NSD=0.4182
covid_65.png: DSC=0.7901, IoU=0.6530, Sens=0.6573, Spec=0.9983, MCC=0.7716, Kappa=0.7487, HD95=22.92, NSD=0.3399
covid_66.png: DSC=0.7947, IoU=0.6593, Sens=0.6963, Spec=0.9901, MCC=0.7745, Kappa=0.7642, HD95=16.66, NSD=0.4516
covid_67.png: DSC=0.8959, IoU=0.8115, Sens=0.8219, Spec=0.9958, MCC=0.8721, Kappa=0.8663, HD95=14.00, NSD=0.4896
covid_69.png: DSC=0.7869, IoU=0.6487, Sens=0.7670, Spec=0.9429, MCC=0.7229, Kappa=0.7225, HD95=19.04, NSD=0.1523
covid_7.png: DSC=0.8106, IoU=0.6815, Sens=0.7482, Spec=0.9690, MCC=0.7613, Kappa=0.7570, HD95=26.07, NSD=0.3353
covid_71.png: DSC=0.9261, IoU=0.8623, Sens=0.9439, Spec=0.9675, MCC=0.9003, Kappa=0.9000, HD95=9.47, NSD=0.5410
covid_72.png: DSC=0.9407, IoU=0.8880, Sens=0.9536, Spec=0.9846, MCC=0.9283, Kappa=0.9281, HD95=5.00, NSD=0.6938
covid_76.png: DSC=0.9025, IoU=0.8224, Sens=0.9048, Spec=0.9741, MCC=0.8773, Kappa=0.8773, HD95=15.01, NSD=0.5109
