=== METRICS: train/tb ===

CHNCXR_81_0.png: DSC=0.4694, IoU=0.3067, Sens=0.3074, Spec=0.9989, MCC=0.4794, Kappa=0.3763, HD95=232.26, NSD=0.0639
CHNCXR_82_0.png: DSC=0.4829, IoU=0.3183, Sens=0.3185, Spec=0.9998, MCC=0.5139, Kappa=0.4186, HD95=255.03, NSD=0.1027
CHNCXR_83_0.png: DSC=0.3658, IoU=0.2239, Sens=0.2244, Spec=0.9994, MCC=0.4321, Kappa=0.3175, HD95=186.60, NSD=0.0615
CHNCXR_84_0.png: DSC=0.3406, IoU=0.2052, Sens=0.2059, Spec=0.9987, MCC=0.3946, Kappa=0.2739, HD95=169.12, NSD=0.1344
CHNCXR_85_0.png: DSC=0.6309, IoU=0.4608, Sens=0.4700, Spec=0.9945, MCC=0.6218, Kappa=0.5703, HD95=96.05, NSD=0.1242
CHNCXR_86_0.png: DSC=0.2912, IoU=0.1704, Sens=0.1708, Spec=0.9996, MCC=0.3797, Kappa=0.2548, HD95=195.63, NSD=0.0114
CHNCXR_87_0.png: DSC=0.3325, IoU=0.1994, Sens=0.1997, Spec=0.9994, MCC=0.3846, Kappa=0.2598, HD95=229.43, NSD=0.0567
CHNCXR_88_0.png: DSC=0.2507, IoU=0.1433, Sens=0.1439, Spec=0.9987, MCC=0.3251, Kappa=0.1965, HD95=217.39, NSD=0.0720
CHNCXR_89_0.png: DSC=0.2700, IoU=0.1561, Sens=0.1576, Spec=0.9969, MCC=0.3362, Kappa=0.2161, HD95=187.41, NSD=0.0098
CHNCXR_8_0.png: DSC=0.3204, IoU=0.1908, Sens=0.1908, Spec=1.0000, MCC=0.4052, Kappa=0.2820, HD95=135.16, NSD=0.0000
CHNCXR_90_0.png: DSC=0.3572, IoU=0.2174, Sens=0.2174, Spec=1.0000, MCC=0.4207, Kappa=0.3008, HD95=273.20, NSD=0.0346
CHNCXR_91_0.png: DSC=0.4559, IoU=0.2953, Sens=0.3000, Spec=0.9922, MCC=0.4502, Kappa=0.3543, HD95=266.36, NSD=0.1223
CHNCXR_92_0.png: DSC=0.3102, IoU=0.1836, Sens=0.1845, Spec=0.9984, MCC=0.3738, Kappa=0.2518, HD95=312.46, NSD=0.0487
CHNCXR_93_0.png: DSC=0.3049, IoU=0.1799, Sens=0.1844, Spec=0.9889, MCC=0.3260, Kappa=0.2226, HD95=230.74, NSD=0.0493
CHNCXR_94_0.png: DSC=0.2708, IoU=0.1566, Sens=0.1567, Spec=0.9999, MCC=0.3504, Kappa=0.2194, HD95=246.75, NSD=0.0243
CHNCXR_95_0.png: DSC=0.7412, IoU=0.5889, Sens=0.5932, Spec=0.9972, MCC=0.7108, Kappa=0.6750, HD95=57.26, NSD=0.0695
CHNCXR_9_0.png: DSC=0.2383, IoU=0.1353, Sens=0.1353, Spec=1.0000, MCC=0.3314, Kappa=0.1979, HD95=198.71, NSD=0.0040
DARCXR_301.png: DSC=0.4675, IoU=0.3051, Sens=0.3115, Spec=0.9900, MCC=0.4557, Kappa=0.3658, HD95=186.70, NSD=0.0569
DARCXR_302.png: DSC=0.2018, IoU=0.1122, Sens=0.1122, Spec=1.0000, MCC=0.2827, Kappa=0.1480, HD95=296.75, NSD=0.0000
DARCXR_307.png: DSC=0.7971, IoU=0.6626, Sens=0.6830, Spec=0.9796, MCC=0.7192, Kappa=0.6964, HD95=67.00, NSD=0.1187
