=== METRICS FOR jsrt ===

JPCLN134.png: DSC=0.5059, IoU=0.3386, HD95=139.62
JPCLN135.png: DSC=0.4087, IoU=0.2568, HD95=115.13
JPCLN136.png: DSC=0.5730, IoU=0.4016, HD95=240.54
JPCLN137.png: DSC=0.7969, IoU=0.6624, HD95=44.90
JPCLN138.png: DSC=0.8897, IoU=0.8013, HD95=22.02
JPCLN139.png: DSC=0.8085, IoU=0.6786, HD95=39.93
JPCLN140.png: DSC=0.6791, IoU=0.5141, HD95=127.29
JPCLN141.png: DSC=0.7904, IoU=0.6535, HD95=61.45
JPCLN142.png: DSC=0.8415, IoU=0.7263, HD95=34.66
JPCLN143.png: DSC=0.5905, IoU=0.4190, HD95=138.97
JPCLN144.png: DSC=0.5568, IoU=0.3858, HD95=138.47
JPCLN145.png: DSC=0.7431, IoU=0.5912, HD95=54.35
JPCLN146.png: DSC=0.8805, IoU=0.7866, HD95=34.00
JPCLN147.png: DSC=0.6899, IoU=0.5266, HD95=91.00
JPCLN148.png: DSC=0.8044, IoU=0.6728, HD95=43.83
JPCLN149.png: DSC=0.7043, IoU=0.5436, HD95=102.49
JPCLN150.png: DSC=0.7455, IoU=0.5942, HD95=81.32
JPCLN151.png: DSC=0.8377, IoU=0.7208, HD95=35.43
JPCLN152.png: DSC=0.5790, IoU=0.4074, HD95=185.58
JPCLN153.png: DSC=0.7890, IoU=0.6515, HD95=63.00
JPCLN154.png: DSC=0.7064, IoU=0.5461, HD95=107.62
JPCNN001.png: DSC=0.7736, IoU=0.6308, HD95=58.34
JPCNN002.png: DSC=0.8282, IoU=0.7068, HD95=50.99
JPCNN003.png: DSC=0.4600, IoU=0.2987, HD95=275.86
JPCNN004.png: DSC=0.7661, IoU=0.6209, HD95=55.54
JPCNN005.png: DSC=0.7962, IoU=0.6614, HD95=75.58
JPCNN006.png: DSC=0.6193, IoU=0.4485, HD95=124.47
JPCNN007.png: DSC=0.6202, IoU=0.4495, HD95=201.93
JPCNN008.png: DSC=0.8201, IoU=0.6951, HD95=53.57
JPCNN009.png: DSC=0.7462, IoU=0.5951, HD95=56.77
JPCNN010.png: DSC=0.8255, IoU=0.7029, HD95=52.71
JPCNN011.png: DSC=0.4832, IoU=0.3186, HD95=96.70
JPCNN012.png: DSC=0.4173, IoU=0.2637, HD95=319.97
JPCNN013.png: DSC=0.8935, IoU=0.8075, HD95=21.93
JPCNN014.png: DSC=0.8341, IoU=0.7154, HD95=35.00
JPCNN015.png: DSC=0.5518, IoU=0.3811, HD95=250.39
JPCNN016.png: DSC=0.6053, IoU=0.4340, HD95=221.44
JPCNN017.png: DSC=0.7671, IoU=0.6221, HD95=65.32
