=== METRICS FOR JSRT ===

JPCNN032.png: DSC=0.8770, IoU=0.7809, HD95=36.68
JPCNN033.png: DSC=0.8351, IoU=0.7169, HD95=39.29
JPCNN034.png: DSC=0.8559, IoU=0.7482, HD95=36.47
JPCNN035.png: DSC=0.8741, IoU=0.7764, HD95=47.71
JPCNN036.png: DSC=0.8831, IoU=0.7907, HD95=26.31
JPCNN037.png: DSC=0.8584, IoU=0.7519, HD95=44.92
JPCNN038.png: DSC=0.4947, IoU=0.3287, HD95=120.99
JPCNN039.png: DSC=0.8998, IoU=0.8179, HD95=32.71
JPCNN040.png: DSC=0.8730, IoU=0.7746, HD95=31.05
JPCNN041.png: DSC=0.8690, IoU=0.7684, HD95=32.55
JPCNN042.png: DSC=0.5526, IoU=0.3818, HD95=86.28
JPCNN043.png: DSC=0.8666, IoU=0.7647, HD95=51.87
JPCNN044.png: DSC=0.6073, IoU=0.4361, HD95=86.16
JPCNN045.png: DSC=0.6369, IoU=0.4672, HD95=83.82
JPCNN046.png: DSC=0.9023, IoU=0.8220, HD95=23.00
JPCNN047.png: DSC=0.6315, IoU=0.4615, HD95=113.34
JPCNN048.png: DSC=0.8462, IoU=0.7334, HD95=45.89
JPCNN049.png: DSC=0.8649, IoU=0.7619, HD95=63.16
JPCNN050.png: DSC=0.8893, IoU=0.8006, HD95=29.83
JPCNN051.png: DSC=0.8901, IoU=0.8020, HD95=25.02
JPCNN052.png: DSC=0.8669, IoU=0.7651, HD95=27.00
JPCNN053.png: DSC=0.8834, IoU=0.7912, HD95=23.42
JPCNN054.png: DSC=0.8915, IoU=0.8042, HD95=34.19
JPCNN055.png: DSC=0.5649, IoU=0.3937, HD95=102.98
JPCNN056.png: DSC=0.8399, IoU=0.7240, HD95=44.45
JPCNN057.png: DSC=0.5280, IoU=0.3587, HD95=99.20
JPCNN058.png: DSC=0.8628, IoU=0.7587, HD95=32.34
JPCNN059.png: DSC=0.8768, IoU=0.7807, HD95=28.16
JPCNN060.png: DSC=0.8758, IoU=0.7790, HD95=31.02
JPCNN061.png: DSC=0.8904, IoU=0.8024, HD95=27.27
JPCNN062.png: DSC=0.8655, IoU=0.7629, HD95=25.59
JPCNN063.png: DSC=0.8740, IoU=0.7763, HD95=26.48
JPCNN064.png: DSC=0.8831, IoU=0.7907, HD95=37.18
JPCNN065.png: DSC=0.8472, IoU=0.7350, HD95=48.22
JPCNN066.png: DSC=0.8965, IoU=0.8125, HD95=23.32
JPCNN067.png: DSC=0.8903, IoU=0.8023, HD95=22.50
JPCNN068.png: DSC=0.8689, IoU=0.7682, HD95=28.43
JPCNN069.png: DSC=0.8873, IoU=0.7974, HD95=34.99
JPCNN070.png: DSC=0.6684, IoU=0.5019, HD95=90.45
JPCNN071.png: DSC=0.8528, IoU=0.7433, HD95=27.78
JPCNN072.png: DSC=0.8606, IoU=0.7554, HD95=31.05
JPCNN073.png: DSC=0.8769, IoU=0.7808, HD95=24.21
JPCNN074.png: DSC=0.8745, IoU=0.7771, HD95=28.86
JPCNN075.png: DSC=0.8681, IoU=0.7669, HD95=32.01
JPCNN076.png: DSC=0.6271, IoU=0.4568, HD95=84.83
JPCNN077.png: DSC=0.8643, IoU=0.7610, HD95=38.49
JPCNN078.png: DSC=0.4894, IoU=0.3240, HD95=98.85
JPCNN079.png: DSC=0.8461, IoU=0.7332, HD95=88.65
JPCNN080.png: DSC=0.8875, IoU=0.7978, HD95=38.00
JPCNN081.png: DSC=0.8139, IoU=0.6862, HD95=56.00
JPCNN082.png: DSC=0.9000, IoU=0.8181, HD95=20.00
JPCNN083.png: DSC=0.8970, IoU=0.8132, HD95=24.74
JPCNN084.png: DSC=0.6119, IoU=0.4408, HD95=89.09
JPCNN085.png: DSC=0.8637, IoU=0.7601, HD95=36.84
JPCNN086.png: DSC=0.8821, IoU=0.7891, HD95=32.33
JPCNN087.png: DSC=0.8512, IoU=0.7409, HD95=28.10
JPCNN088.png: DSC=0.8935, IoU=0.8075, HD95=26.25
JPCNN089.png: DSC=0.8889, IoU=0.8001, HD95=40.80
JPCNN090.png: DSC=0.8949, IoU=0.8097, HD95=24.52
JPCNN091.png: DSC=0.8833, IoU=0.7910, HD95=30.20
JPCNN092.png: DSC=0.8732, IoU=0.7749, HD95=25.57
JPCNN093.png: DSC=0.8737, IoU=0.7757, HD95=28.03

--- AVERAGE METRICS ---
Mean DSC:  0.7946
Mean IoU:  0.6867
Mean HD95: 51.53
