=== METRICS: train/covid-19 ===

covid_209.png: DSC=0.3698, IoU=0.2269, Sens=0.2269, Spec=0.9999, MCC=0.4224, Kappa=0.3032, HD95=122.88, NSD=0.0423
covid_210.png: DSC=0.3317, IoU=0.1988, Sens=0.1992, Spec=0.9995, MCC=0.3953, Kappa=0.2723, HD95=187.15, NSD=0.0350
covid_212.png: DSC=0.5279, IoU=0.3586, Sens=0.3632, Spec=0.9918, MCC=0.4900, Kappa=0.4006, HD95=184.33, NSD=0.1296
covid_213.png: DSC=0.7167, IoU=0.5585, Sens=0.5678, Spec=0.9966, MCC=0.7092, Kappa=0.6767, HD95=90.06, NSD=0.1231
covid_215.png: DSC=0.2168, IoU=0.1216, Sens=0.1402, Spec=0.9630, MCC=0.1760, Kappa=0.1409, HD95=261.85, NSD=0.0059
covid_216.png: DSC=0.0577, IoU=0.0297, Sens=0.0896, Spec=0.4971, MCC=-0.3348, Kappa=-0.2923, HD95=103.25, NSD=0.0598
covid_217.png: DSC=0.7289, IoU=0.5735, Sens=0.5764, Spec=0.9987, MCC=0.7169, Kappa=0.6813, HD95=58.57, NSD=0.1463
covid_218.png: DSC=0.7513, IoU=0.6017, Sens=0.6553, Spec=0.9686, MCC=0.6926, Kappa=0.6802, HD95=57.07, NSD=0.1484
covid_219.png: DSC=0.5618, IoU=0.3907, Sens=0.9828, Spec=0.4658, MCC=0.4132, Kappa=0.3020, HD95=130.36, NSD=0.0942
covid_22.png: DSC=0.2876, IoU=0.1679, Sens=0.1681, Spec=0.9998, MCC=0.3815, Kappa=0.2559, HD95=166.95, NSD=0.0786
covid_220.png: DSC=0.1653, IoU=0.0901, Sens=0.0903, Spec=0.9986, MCC=0.2377, Kappa=0.1111, HD95=389.53, NSD=0.0420
covid_221.png: DSC=0.4188, IoU=0.2649, Sens=0.2649, Spec=1.0000, MCC=0.4829, Kappa=0.3781, HD95=118.69, NSD=0.0047
covid_222.png: DSC=0.5428, IoU=0.3725, Sens=0.4340, Spec=0.9415, MCC=0.4541, Kappa=0.4314, HD95=291.30, NSD=0.0662
covid_225.png: DSC=0.3688, IoU=0.2261, Sens=0.2273, Spec=0.9978, MCC=0.4068, Kappa=0.2907, HD95=199.00, NSD=0.2103
covid_227.png: DSC=0.3089, IoU=0.1827, Sens=0.1829, Spec=0.9997, MCC=0.3865, Kappa=0.2617, HD95=293.49, NSD=0.0187
covid_228.png: DSC=0.4040, IoU=0.2531, Sens=0.2531, Spec=1.0000, MCC=0.4066, Kappa=0.2838, HD95=134.47, NSD=0.0000
covid_229.png: DSC=0.2469, IoU=0.1408, Sens=0.1413, Spec=0.9995, MCC=0.3482, Kappa=0.2210, HD95=155.49, NSD=0.0596
covid_23.png: DSC=0.2811, IoU=0.1635, Sens=0.1635, Spec=1.0000, MCC=0.3673, Kappa=0.2378, HD95=153.23, NSD=0.0000
covid_231.png: DSC=0.3723, IoU=0.2287, Sens=0.2289, Spec=0.9998, MCC=0.4477, Kappa=0.3350, HD95=188.45, NSD=0.0507
covid_232.png: DSC=0.2035, IoU=0.1133, Sens=0.1170, Spec=0.9756, MCC=0.1875, Kappa=0.1043, HD95=356.04, NSD=0.0070
covid_233.png: DSC=0.2257, IoU=0.1272, Sens=0.1272, Spec=0.9999, MCC=0.3132, Kappa=0.1791, HD95=245.01, NSD=0.0295
covid_235.png: DSC=0.3025, IoU=0.1782, Sens=0.1782, Spec=1.0000, MCC=0.3562, Kappa=0.2252, HD95=253.81, NSD=0.0069
covid_236.png: DSC=0.4273, IoU=0.2717, Sens=0.2721, Spec=0.9998, MCC=0.4978, Kappa=0.3986, HD95=114.62, NSD=0.0888
covid_237.png: DSC=0.3206, IoU=0.1909, Sens=0.1910, Spec=0.9995, MCC=0.3470, Kappa=0.2159, HD95=407.23, NSD=0.0685
covid_239.png: DSC=0.2498, IoU=0.1427, Sens=0.1427, Spec=1.0000, MCC=0.3225, Kappa=0.1885, HD95=183.34, NSD=0.0000
covid_24.png: DSC=0.2260, IoU=0.1274, Sens=0.1280, Spec=0.9969, MCC=0.2721, Kappa=0.1452, HD95=338.13, NSD=0.0670
covid_241.png: DSC=0.4360, IoU=0.2787, Sens=0.2794, Spec=0.9992, MCC=0.4714, Kappa=0.3663, HD95=140.03, NSD=0.0672
covid_242.png: DSC=0.3159, IoU=0.1876, Sens=0.1887, Spec=0.9982, MCC=0.3782, Kappa=0.2578, HD95=165.88, NSD=0.0408
covid_243.png: DSC=0.1189, IoU=0.0632, Sens=0.0677, Spec=0.9522, MCC=0.0424, Kappa=0.0232, HD95=354.87, NSD=0.0163
covid_244.png: DSC=0.2605, IoU=0.1497, Sens=0.1497, Spec=1.0000, MCC=0.3280, Kappa=0.1943, HD95=397.71, NSD=0.0093
covid_245.png: DSC=0.7878, IoU=0.6498, Sens=0.7355, Spec=0.9402, MCC=0.7047, Kappa=0.7011, HD95=50.64, NSD=0.1368
covid_246.png: DSC=0.3023, IoU=0.1781, Sens=0.1781, Spec=1.0000, MCC=0.3750, Kappa=0.2466, HD95=189.14, NSD=0.0134
covid_248.png: DSC=0.4012, IoU=0.2510, Sens=0.2510, Spec=1.0000, MCC=0.4663, Kappa=0.3572, HD95=148.99, NSD=0.0000
covid_249.png: DSC=0.1345, IoU=0.0721, Sens=0.0721, Spec=1.0000, MCC=0.2478, Kappa=0.1157, HD95=145.07, NSD=0.0000
