=== METRICS: train/jsrt ===

JPCLN054.png: DSC=0.8844, IoU=0.7927, Sens=0.8219, Spec=0.9848, MCC=0.8461, Kappa=0.8415, HD95=25.31, NSD=0.2013
JPCLN055.png: DSC=0.9002, IoU=0.8185, Sens=0.8581, Spec=0.9815, MCC=0.8664, Kappa=0.8645, HD95=23.02, NSD=0.1229
JPCLN056.png: DSC=0.8852, IoU=0.7941, Sens=0.8565, Spec=0.9726, MCC=0.8479, Kappa=0.8471, HD95=29.07, NSD=0.1246
JPCLN057.png: DSC=0.8263, IoU=0.7040, Sens=0.7349, Spec=0.9817, MCC=0.7769, Kappa=0.7659, HD95=34.54, NSD=0.1385
JPCLN058.png: DSC=0.8932, IoU=0.8070, Sens=0.8423, Spec=0.9642, MCC=0.8194, Kappa=0.8149, HD95=33.24, NSD=0.1658
JPCLN059.png: DSC=0.8745, IoU=0.7771, Sens=0.8420, Spec=0.9701, MCC=0.8332, Kappa=0.8320, HD95=29.04, NSD=0.1663
JPCLN060.png: DSC=0.8800, IoU=0.7858, Sens=0.8295, Spec=0.9804, MCC=0.8440, Kappa=0.8413, HD95=23.00, NSD=0.1251
JPCLN061.png: DSC=0.5357, IoU=0.3658, Sens=0.3994, Spec=0.9680, MCC=0.4830, Kappa=0.4402, HD95=91.92, NSD=0.0832
JPCLN062.png: DSC=0.8721, IoU=0.7732, Sens=0.7983, Spec=0.9855, MCC=0.8292, Kappa=0.8224, HD95=31.00, NSD=0.0873
JPCLN063.png: DSC=0.0198, IoU=0.0100, Sens=0.0100, Spec=0.9966, MCC=0.0418, Kappa=0.0083, HD95=345.15, NSD=0.0253
JPCLN064.png: DSC=0.8506, IoU=0.7400, Sens=0.7627, Spec=0.9826, MCC=0.7916, Kappa=0.7802, HD95=41.26, NSD=0.1361
JPCLN065.png: DSC=0.8880, IoU=0.7986, Sens=0.8442, Spec=0.9763, MCC=0.8471, Kappa=0.8449, HD95=21.59, NSD=0.1259
JPCLN066.png: DSC=0.8485, IoU=0.7369, Sens=0.7852, Spec=0.9565, MCC=0.7671, Kappa=0.7608, HD95=44.34, NSD=0.1196
JPCLN067.png: DSC=0.8743, IoU=0.7767, Sens=0.8426, Spec=0.9722, MCC=0.8362, Kappa=0.8351, HD95=28.01, NSD=0.1714
JPCLN068.png: DSC=0.8807, IoU=0.7868, Sens=0.8139, Spec=0.9833, MCC=0.8353, Kappa=0.8295, HD95=29.55, NSD=0.1630
JPCLN069.png: DSC=0.8714, IoU=0.7720, Sens=0.7991, Spec=0.9870, MCC=0.8355, Kappa=0.8294, HD95=25.50, NSD=0.1166
JPCLN070.png: DSC=0.8197, IoU=0.6945, Sens=0.7170, Spec=0.9814, MCC=0.7540, Kappa=0.7374, HD95=139.98, NSD=0.1178
JPCLN071.png: DSC=0.8676, IoU=0.7661, Sens=0.7962, Spec=0.9857, MCC=0.8310, Kappa=0.8252, HD95=24.20, NSD=0.2023
JPCLN072.png: DSC=0.8792, IoU=0.7845, Sens=0.8202, Spec=0.9843, MCC=0.8453, Kappa=0.8415, HD95=31.53, NSD=0.1421
JPCLN073.png: DSC=0.8653, IoU=0.7625, Sens=0.7928, Spec=0.9807, MCC=0.8152, Kappa=0.8083, HD95=30.07, NSD=0.1333
JPCLN074.png: DSC=0.0079, IoU=0.0040, Sens=0.0042, Spec=0.9711, MCC=-0.0860, Kappa=-0.0306, HD95=531.66, NSD=0.0117
JPCLN075.png: DSC=0.8467, IoU=0.7342, Sens=0.7456, Spec=0.9911, MCC=0.7918, Kappa=0.7762, HD95=40.00, NSD=0.1862
JPCLN076.png: DSC=0.8454, IoU=0.7322, Sens=0.7572, Spec=0.9830, MCC=0.7920, Kappa=0.7812, HD95=36.19, NSD=0.1363
JPCLN077.png: DSC=0.7034, IoU=0.5425, Sens=0.7997, Spec=0.7810, MCC=0.5505, Kappa=0.5408, HD95=77.00, NSD=0.1377
JPCLN078.png: DSC=0.8657, IoU=0.7632, Sens=0.8119, Spec=0.9644, MCC=0.8022, Kappa=0.7982, HD95=30.44, NSD=0.1777
JPCLN079.png: DSC=0.5358, IoU=0.3660, Sens=0.3762, Spec=0.9865, MCC=0.5028, Kappa=0.4288, HD95=118.93, NSD=0.1194
JPCLN080.png: DSC=0.8601, IoU=0.7545, Sens=0.8015, Spec=0.9722, MCC=0.8082, Kappa=0.8040, HD95=29.00, NSD=0.1451
JPCLN081.png: DSC=0.8416, IoU=0.7266, Sens=0.7544, Spec=0.9836, MCC=0.7945, Kappa=0.7847, HD95=31.78, NSD=0.1035
JPCLN082.png: DSC=0.6065, IoU=0.4352, Sens=0.4465, Spec=0.9886, MCC=0.5704, Kappa=0.5107, HD95=187.24, NSD=0.0705
JPCLN083.png: DSC=0.8682, IoU=0.7671, Sens=0.7934, Spec=0.9789, MCC=0.8071, Kappa=0.7987, HD95=31.95, NSD=0.2008
JPCLN084.png: DSC=0.8957, IoU=0.8111, Sens=0.8318, Spec=0.9892, MCC=0.8609, Kappa=0.8561, HD95=22.00, NSD=0.2099
JPCLN085.png: DSC=0.8895, IoU=0.8010, Sens=0.8438, Spec=0.9816, MCC=0.8564, Kappa=0.8542, HD95=21.00, NSD=0.1707
JPCLN086.png: DSC=0.8641, IoU=0.7607, Sens=0.7855, Spec=0.9797, MCC=0.8018, Kappa=0.7924, HD95=35.00, NSD=0.1188
JPCLN087.png: DSC=0.8831, IoU=0.7907, Sens=0.8210, Spec=0.9809, MCC=0.8363, Kappa=0.8313, HD95=28.50, NSD=0.1867
JPCLN088.png: DSC=0.8356, IoU=0.7177, Sens=0.7551, Spec=0.9761, MCC=0.7801, Kappa=0.7715, HD95=39.98, NSD=0.1384
JPCLN089.png: DSC=0.5377, IoU=0.3677, Sens=0.3770, Spec=0.9786, MCC=0.4575, Kappa=0.3736, HD95=241.31, NSD=0.1029
JPCLN090.png: DSC=0.5715, IoU=0.4001, Sens=0.4006, Spec=0.9995, MCC=0.5581, Kappa=0.4760, HD95=293.06, NSD=0.0876
JPCLN091.png: DSC=0.8479, IoU=0.7360, Sens=0.7577, Spec=0.9865, MCC=0.8008, Kappa=0.7899, HD95=29.07, NSD=0.1037
JPCLN092.png: DSC=0.6083, IoU=0.4371, Sens=0.4490, Spec=0.9821, MCC=0.5385, Kappa=0.4733, HD95=135.18, NSD=0.1532
JPCLN093.png: DSC=0.8412, IoU=0.7260, Sens=0.7288, Spec=0.9974, MCC=0.7827, Kappa=0.7614, HD95=41.39, NSD=0.2087
JPCLN094.png: DSC=0.8817, IoU=0.7885, Sens=0.8145, Spec=0.9841, MCC=0.8373, Kappa=0.8315, HD95=28.81, NSD=0.2081
JPCLN095.png: DSC=0.8594, IoU=0.7535, Sens=0.7793, Spec=0.9913, MCC=0.8349, Kappa=0.8282, HD95=26.00, NSD=0.1717
JPCLN096.png: DSC=0.8746, IoU=0.7772, Sens=0.8134, Spec=0.9781, MCC=0.8267, Kappa=0.8219, HD95=30.82, NSD=0.1184
JPCLN097.png: DSC=0.0437, IoU=0.0223, Sens=0.0224, Spec=0.9996, MCC=0.1192, Kappa=0.0294, HD95=424.07, NSD=0.0144
JPCLN098.png: DSC=0.8422, IoU=0.7274, Sens=0.7487, Spec=0.9845, MCC=0.7864, Kappa=0.7737, HD95=32.79, NSD=0.1062
JPCLN099.png: DSC=0.8933, IoU=0.8071, Sens=0.8383, Spec=0.9870, MCC=0.8637, Kappa=0.8605, HD95=24.00, NSD=0.1708
JPCLN100.png: DSC=0.6679, IoU=0.5013, Sens=0.5212, Spec=0.9848, MCC=0.6249, Kappa=0.5850, HD95=158.46, NSD=0.1501
JPCLN101.png: DSC=0.4688, IoU=0.3062, Sens=0.3307, Spec=0.9529, MCC=0.3813, Kappa=0.3228, HD95=222.08, NSD=0.0582
JPCLN102.png: DSC=0.8762, IoU=0.7796, Sens=0.7996, Spec=0.9847, MCC=0.8216, Kappa=0.8129, HD95=31.29, NSD=0.1998
JPCLN103.png: DSC=0.7552, IoU=0.6067, Sens=0.7897, Spec=0.7807, MCC=0.5651, Kappa=0.5634, HD95=66.71, NSD=0.1583
JPCLN104.png: DSC=0.8799, IoU=0.7855, Sens=0.8081, Spec=0.9855, MCC=0.8341, Kappa=0.8272, HD95=27.46, NSD=0.1960
JPCLN105.png: DSC=0.5608, IoU=0.3897, Sens=0.3932, Spec=0.9963, MCC=0.5505, Kappa=0.4730, HD95=191.97, NSD=0.0872
JPCLN106.png: DSC=0.8559, IoU=0.7481, Sens=0.7848, Spec=0.9760, MCC=0.8014, Kappa=0.7947, HD95=38.02, NSD=0.1422
JPCLN107.png: DSC=0.5349, IoU=0.3651, Sens=0.3893, Spec=0.9407, MCC=0.4011, Kappa=0.3400, HD95=169.82, NSD=0.0546
JPCLN108.png: DSC=0.8450, IoU=0.7316, Sens=0.7538, Spec=0.9870, MCC=0.8005, Kappa=0.7897, HD95=79.05, NSD=0.1388
JPCLN109.png: DSC=0.8995, IoU=0.8174, Sens=0.8381, Spec=0.9878, MCC=0.8610, Kappa=0.8563, HD95=22.00, NSD=0.1670
JPCLN110.png: DSC=0.8743, IoU=0.7767, Sens=0.7957, Spec=0.9881, MCC=0.8300, Kappa=0.8218, HD95=27.66, NSD=0.1560
JPCLN111.png: DSC=0.8326, IoU=0.7132, Sens=0.7454, Spec=0.9687, MCC=0.7506, Kappa=0.7380, HD95=45.32, NSD=0.0940
JPCLN112.png: DSC=0.0247, IoU=0.0125, Sens=0.0128, Spec=0.9886, MCC=0.0058, Kappa=0.0017, HD95=209.94, NSD=0.0278
JPCLN113.png: DSC=0.8669, IoU=0.7651, Sens=0.7927, Spec=0.9802, MCC=0.8119, Kappa=0.8041, HD95=34.00, NSD=0.1385
JPCLN114.png: DSC=0.8313, IoU=0.7114, Sens=0.7337, Spec=0.9885, MCC=0.7921, Kappa=0.7800, HD95=50.24, NSD=0.2045
JPCLN115.png: DSC=0.8417, IoU=0.7267, Sens=0.7693, Spec=0.9590, MCC=0.7563, Kappa=0.7478, HD95=45.28, NSD=0.1371
JPCLN116.png: DSC=0.8924, IoU=0.8056, Sens=0.8391, Spec=0.9850, MCC=0.8599, Kappa=0.8568, HD95=21.00, NSD=0.1765
JPCLN117.png: DSC=0.8696, IoU=0.7693, Sens=0.8141, Spec=0.9792, MCC=0.8305, Kappa=0.8271, HD95=23.46, NSD=0.1403
JPCLN118.png: DSC=0.8631, IoU=0.7592, Sens=0.7908, Spec=0.9698, MCC=0.7872, Kappa=0.7785, HD95=39.00, NSD=0.1147
JPCLN119.png: DSC=0.8717, IoU=0.7725, Sens=0.8126, Spec=0.9847, MCC=0.8409, Kappa=0.8373, HD95=30.08, NSD=0.1618
JPCLN120.png: DSC=0.8622, IoU=0.7577, Sens=0.7625, Spec=0.9959, MCC=0.8062, Kappa=0.7901, HD95=36.40, NSD=0.0874
JPCLN121.png: DSC=0.8637, IoU=0.7600, Sens=0.8074, Spec=0.9706, MCC=0.8096, Kappa=0.8056, HD95=26.02, NSD=0.1226
JPCLN122.png: DSC=0.8758, IoU=0.7790, Sens=0.8169, Spec=0.9761, MCC=0.8256, Kappa=0.8211, HD95=28.00, NSD=0.2047
JPCLN123.png: DSC=0.8720, IoU=0.7730, Sens=0.8161, Spec=0.9774, MCC=0.8286, Kappa=0.8250, HD95=26.48, NSD=0.1716
JPCLN124.png: DSC=0.0266, IoU=0.0135, Sens=0.0137, Spec=0.9926, MCC=0.0302, Kappa=0.0086, HD95=171.86, NSD=0.0176
JPCLN125.png: DSC=0.8500, IoU=0.7391, Sens=0.7655, Spec=0.9834, MCC=0.8004, Kappa=0.7909, HD95=38.00, NSD=0.2099
JPCLN126.png: DSC=0.8762, IoU=0.7796, Sens=0.7923, Spec=0.9886, MCC=0.8152, Kappa=0.8037, HD95=37.11, NSD=0.1721
JPCLN127.png: DSC=0.8439, IoU=0.7300, Sens=0.7596, Spec=0.9854, MCC=0.8044, Kappa=0.7958, HD95=36.88, NSD=0.2212
